pokemon_id,pokemon_name,family_id,stage_id,branch
109,Koffing,52,1,1
110,Weezing,52,2,1
111,Rhyhorn,53,1,1
112,Rhydon,53,2,1
464,Rhyperior,53,3,1
114,Tangela,54,1,1
465,Tangrowth,54,2,1
115,Kangaskhan,55,1,1
116,Horsea,56,1,1
117,Seadra,56,2,1
230,Kingdra,56,3,1
118,Goldeen,57,1,1
119,Seaking,57,2,1
120,Staryu,58,1,1
121,Starmie,58,2,1
122,Mr. Mime,59,1,1
439,Mime Jr.,59,0,1
123,Scyther,60,1,1
212,Scizor,60,2,1
124,Jynx,61,1,1
238,Smoochum,61,0,1
125,Electabuzz,62,1,1
239,Elekid,62,0,1
466,Electivire,62,2,1
126,Magmar,63,1,1
240,Magby,63,0,1
467,Magmortar,63,2,1
127,Pinsir,64,1,1
128,Tauros,65,1,1
129,Magikarp,66,1,1
130,Gyarados,66,2,1
131,Lapras,67,1,1
132,Ditto,68,1,1
137,Porygon,69,1,1
233,Porygon2,69,2,1
474,Porygon-Z,69,3,1
138,Omanyte,70,1,1
139,Omastar,70,2,1
140,Kabuto,71,1,1
141,Kabutops,71,2,1
142,Aerodactyl,72,1,1
143,Snorlax,73,1,1
446,Munchlax,73,0,1
144,Articuno,74,1,1
145,Zapdos,75,1,1
146,Moltres,76,1,1
147,Dratini,77,1,1
148,Dragonair,77,2,1
149,Dragonite,77,3,1
150,Mewtwo,78,1,1
151,Mew,79,1,1
152,Chikorita,80,1,1
153,Bayleef,80,2,1
154,Meganium,80,3,1
155,Cyndaquil,81,1,1
156,Quilava,81,2,1
157,Typhlosion,81,3,1
158,Totodile,82,1,1
159,Croconaw,82,2,1
160,Feraligatr,82,3,1
161,Sentret,83,1,1
162,Furret,83,2,1
163,Hoothoot,84,1,1
164,Noctowl,84,2,1
165,Ledyba,85,1,1
166,Ledian,85,2,1
167,Spinarak,86,1,1
168,Ariados,86,2,1
170,Chinchou,87,1,1
171,Lanturn,87,2,1
175,Togepi,88,0,1
176,Togetic,88,1,1
468,Togekiss,88,2,1
177,Natu,89,1,1
178,Xatu,89,2,1
179,Mareep,90,1,1
180,Flaaffy,90,2,1
181,Ampharos,90,3,1
183,Marill,91,1,1
184,Azumarill,91,2,1
298,Azurill,91,0,1
185,Sudowoodo,92,1,1
438,Bonsly,92,0,1
187,Hoppip,93,1,1
188,Skiploom,93,2,1
189,Jumpluff,93,3,1
190,Aipom,94,1,1
424,Ambipom,94,2,1
191,Sunkern,95,1,1
192,Sunflora,95,2,1
193,Yanma,96,1,1
469,Yanmega,96,2,1
194,Wooper,97,1,1
195,Quagsire,97,2,1
198,Murkrow,98,1,1
430,Honchkrow,98,2,1
200,Misdreavus,99,1,1
429,Mismagius,99,2,1
201,Unown,100,1,1
202,Wobbuffet,101,1,1
360,Wynaut,101,0,1
203,Girafarig,102,1,1
204,Pineco,103,1,1
205,Forretress,103,2,1
206,Dunsparce,104,1,1
207,Gligar,105,1,1
472,Gliscor,105,2,1
209,Snubbull,106,1,1
210,Granbull,106,2,1
211,Qwilfish,107,1,1
213,Shuckle,108,1,1
214,Heracross,109,1,1
215,Sneasel,110,1,1
461,Weavile,110,2,1
216,Teddiursa,111,1,1
217,Ursaring,111,2,1
218,Slugma,112,1,1
219,Magcargo,112,2,1
220,Swinub,113,1,1
221,Piloswine,113,2,1
473,Mamoswine,113,3,1
222,Corsola,114,1,1
223,Remoraid,115,1,1
224,Octillery,115,2,1
225,Delibird,116,1,1
226,Mantine,117,1,1
458,Mantyke,117,0,1
227,Skarmory,118,1,1
228,Houndour,119,1,1
229,Houndoom,119,2,1
231,Phanpy,120,1,1
232,Donphan,120,2,1
234,Stantler,121,1,1
235,Smeargle,122,1,1
283,Surskit,123,1,1
284,Masquerain,123,2,1
241,Miltank,124,1,1
243,Raikou,125,1,1
244,Entei,126,1,1
245,Suicune,127,1,1
246,Larvitar,128,1,1
247,Pupitar,128,2,1
248,Tyranitar,128,3,1
249,Lugia,129,1,1
250,Ho-Oh,130,1,1
251,Celebi,131,1,1
252,Treecko,132,1,1
253,Grovyle,132,2,1
254,Sceptile,132,3,1
255,Torchic,133,1,1
256,Combusken,133,2,1
257,Blaziken,133,3,1
258,Mudkip,134,1,1
259,Marshtomp,134,2,1
260,Swampert,134,3,1
261,Poochyena,135,1,1
262,Mightyena,135,2,1
263,Zigzagoon,136,1,1
264,Linoone,136,2,1
559,Scraggy,137,1,1
560,Scrafty,137,2,1
265,Wurmple,138,1,1
266,Silcoon,138,2,1
267,Beautifly,138,3,1
268,Cascoon,138,2,2
269,Dustox,138,3,2
270,Lotad,139,1,1
271,Lombre,139,2,1
272,Ludicolo,139,3,1
273,Seedot,140,1,1
274,Nuzleaf,140,2,1
275,Shiftry,140,3,1
276,Taillow,141,1,1
277,Swellow,141,2,1
278,Wingull,142,1,1
279,Pelipper,142,2,1
280,Ralts,143,2,1
582,Vanillite,143,1,1
583,Vanillish,143,2,1
584,Vanilluxe,143,3,1
281,Kirlia,144,2,1
282,Gardevoir,144,3,1
475,Gallade,144,3,2
285,Shroomish,145,1,1
286,Breloom,145,2,1
287,Slakoth,146,1,1
288,Vigoroth,146,2,1
289,Slaking,146,3,1
602,Tynamo,147,1,1
603,Eelektrik,147,2,1
604,Eelektross,147,3,1
290,Nincada,148,1,1
291,Ninjask,148,2,1
292,Shedinja,148,2,2
293,Whismur,149,1,1
294,Loudred,149,2,1
295,Exploud,149,3,1
296,Makuhita,150,1,1
297,Hariyama,150,2,1
299,Nosepass,151,1,1
476,Probopass,151,2,1
300,Skitty,152,1,1
301,Delcatty,152,2,1
302,Sableye,153,1,1
303,Mawile,154,1,1
304,Aron,155,1,1
305,Lairon,155,2,1
306,Aggron,155,3,1
307,Meditite,156,1,1
308,Medicham,156,2,1
309,Electrike,157,1,1
310,Manectric,157,2,1
311,Plusle,158,1,1
312,Minun,159,1,1
313,Volbeat,160,1,1
314,Illumise,161,1,1
315,Roselia,162,1,1
406,Budew,162,0,1
407,Roserade,162,2,1
316,Gulpin,163,1,1
317,Swalot,163,2,1
318,Carvanha,164,1,1
319,Sharpedo,164,2,1
320,Wailmer,165,1,1
321,Wailord,165,2,1
322,Numel,166,1,1
323,Camerupt,166,2,1
324,Torkoal,167,1,1
325,Spoink,168,1,1
326,Grumpig,168,2,1
327,Spinda,169,1,1
328,Trapinch,170,1,1
329,Vibrava,170,2,1
330,Flygon,170,3,1
331,Cacnea,171,1,1
332,Cacturne,171,2,1
333,Swablu,172,1,1
334,Altaria,172,2,1
335,Zangoose,173,1,1
336,Seviper,174,1,1
337,Lunatone,175,1,1
338,Solrock,176,1,1
339,Barboach,177,1,1
340,Whiscash,177,2,1
341,Corphish,178,1,1
342,Crawdaunt,178,2,1
343,Baltoy,179,1,1
344,Claydol,179,2,1
345,Lileep,180,1,1
346,Cradily,180,2,1
347,Anorith,181,1,1
348,Armaldo,181,2,1
349,Feebas,182,1,1
350,Milotic,182,2,1
351,Castform,183,1,1
352,Kecleon,184,1,1
353,Shuppet,185,1,1
354,Banette,185,2,1
355,Duskull,187,1,1
356,Dusclops,187,2,1
477,Dusknoir,187,3,1
357,Tropius,189,1,1
358,Chimecho,190,1,1
433,Chingling,190,0,1
359,Absol,191,1,1
361,Snorunt,193,1,1
362,Glalie,193,2,1
478,Froslass,193,2,2
363,Spheal,195,1,1
364,Sealeo,195,2,1
365,Walrein,195,3,1
366,Clamperl,198,1,1
367,Huntail,198,2,1
368,Gorebyss,198,2,2
369,Relicanth,201,1,1
370,Luvdisc,202,1,1
371,Bagon,203,1,1
372,Shelgon,203,2,1
373,Salamence,203,3,1
374,Beldum,206,1,1
375,Metang,206,2,1
376,Metagross,206,3,1
377,Regirock,209,1,1
378,Regice,210,1,1
379,Registeel,211,1,1
380,Latias,212,1,1
381,Latios,213,1,1
382,Kyogre,214,1,1
383,Groudon,215,1,1
384,Rayquaza,216,1,1
385,Jirachi,217,1,1
386,Deoxys,218,1,1
387,Turtwig,219,1,1
388,Grotle,219,2,1
389,Torterra,219,3,1
390,Chimchar,220,1,1
391,Monferno,220,2,1
392,Infernape,220,3,1
393,Piplup,221,1,1
394,Prinplup,221,2,1
395,Empoleon,221,3,1
396,Starly,222,1,1
397,Staravia,222,2,1
398,Staraptor,222,3,1
399,Bidoof,223,1,1
400,Bibarel,223,2,1
401,Kricketot,224,1,1
402,Kricketune,224,2,1
403,Shinx,225,1,1
404,Luxio,225,2,1
405,Luxray,225,3,1
408,Cranidos,226,1,1
409,Rampardos,226,2,1
410,Shieldon,227,1,1
411,Bastiodon,227,2,1
412,Burmy,228,1,1
413,Wormadam,228,2,1
414,Mothim,228,2,1
415,Combee,230,1,1
416,Vespiquen,230,2,1
417,Pachirisu,231,1,1
418,Buizel,232,1,1
419,Floatzel,232,2,1
420,Cherubi,233,1,1
421,Cherrim,233,2,1
422,Shellos,234,1,1
423,Gastrodon,234,2,1
425,Drifloon,235,1,1
426,Drifblim,235,2,1
427,Buneary,236,1,1
428,Lopunny,236,2,1
431,Glameow,237,1,1
432,Purugly,237,2,1
434,Stunky,238,1,1
435,Skuntank,238,2,1
436,Bronzor,239,1,1
437,Bronzong,239,2,1
441,Chatot,240,1,1
442,Spiritomb,241,1,1
443,Gible,242,1,1
444,Gabite,242,2,1
445,Garchomp,242,3,1
447,Riolu,243,0,1
448,Lucario,243,1,1
449,Hippopotas,244,1,1
450,Hippowdon,244,2,1
451,Skorupi,245,1,1
452,Drapion,245,2,1
453,Croagunk,246,1,1
454,Toxicroak,246,2,1
455,Carnivine,247,1,1
456,Finneon,248,1,1
457,Lumineon,248,2,1
459,Snover,249,1,1
460,Abomasnow,249,2,1
479,Rotom,252,1,1
480,Uxie,253,1,1
481,Mesprit,254,1,1
482,Azelf,255,1,1
483,Dialga,256,1,1
484,Palkia,257,1,1
485,Heatran,258,1,1
486,Regigigas,259,1,1
487,Giratina,260,1,1
488,Cresselia,261,1,1
489,Phione,262,1,1
490,Manaphy,263,1,1
491,Darkrai,264,1,1
492,Shaymin,265,1,1
493,Arceus,266,1,1
494,Victini,267,1,1
495,Snivy,268,1,1
496,Servine,268,2,1
497,Serperior,268,3,1
498,Tepig,269,1,1
499,Pignite,269,2,1
500,Emboar,269,3,1
501,Oshawott,270,1,1
502,Dewott,270,2,1
503,Samurott,270,3,1
504,Patrat,271,1,1
505,Watchog,271,2,1
506,Lillipup,272,1,1
507,Herdier,272,2,1
508,Stoutland,272,3,1
509,Purrloin,273,1,1
510,Liepard,273,2,1
511,Pansage,274,1,1
512,Simisage,274,2,1
513,Pansear,275,1,1
514,Simisear,275,2,1
515,Panpour,276,1,1
516,Simipour,276,2,1
517,Munna,277,1,1
518,Musharna,277,2,1
519,Pidove,278,1,1
520,Tranquill,278,2,1
521,Unfezant,278,3,1
522,Blitzle,279,1,1
523,Zebstrika,279,2,1
524,Roggenrola,280,1,1
525,Boldore,280,2,1
526,Gigalith,280,3,1
527,Woobat,281,1,1
528,Swoobat,281,2,1
529,Drilbur,282,1,1
530,Excadrill,282,2,1
531,Audino,283,1,1
532,Timburr,284,1,1
533,Gurdurr,284,2,1
534,Conkeldurr,284,3,1
535,Tympole,285,1,1
536,Palpitoad,285,2,1
537,Seismitoad,285,3,1
538,Throh,286,1,1
539,Sawk,287,1,1
540,Sewaddle,288,1,1
541,Swadloon,288,2,1
542,Leavanny,288,3,1
543,Venipede,289,1,1
544,Whirlipede,289,2,1
545,Scolipede,289,3,1
546,Cottonee,290,1,1
547,Whimsicott,290,2,1
548,Petilil,291,1,1
549,Lilligant,291,2,1
550,Basculin,292,1,1
551,Sandile,293,1,1
552,Krokorok,293,2,1
553,Krookodile,293,3,1
554,Darumaka,294,1,1
555,Darmanitan,294,2,1
556,Maractus,295,1,1
557,Dwebble,296,1,1
558,Crustle,296,2,1
561,Sigilyph,297,1,1
562,Yamask,298,1,1
563,Cofagrigus,298,2,1
564,Tirtouga,299,1,1
565,Carracosta,299,2,1
566,Archen,300,1,1
567,Archeops,300,2,1
568,Trubbish,301,1,1
569,Garbodor,301,2,1
570,Zorua,302,1,1
571,Zoroark,302,2,1
572,Minccino,303,1,1
573,Cinccino,303,2,1
574,Gothita,304,1,1
575,Gothorita,304,2,1
576,Gothitelle,304,3,1
577,Solosis,305,1,1
578,Duosion,305,2,1
579,Reuniclus,305,3,1
580,Ducklett,306,1,1
581,Swanna,306,2,1
585,Deerling,307,1,1
586,Sawsbuck,307,2,1
587,Emolga,308,1,1
588,Karrablast,309,1,1
589,Escavalier,309,2,1
590,Foongus,310,1,1
591,Amoonguss,310,2,1
592,Frillish,311,1,1
593,Jellicent,311,2,1
594,Alomomola,312,1,1
595,Joltik,313,1,1
596,Galvantula,313,2,1
597,Ferroseed,314,1,1
598,Ferrothorn,314,2,1
599,Klink,315,1,1
600,Klang,315,2,1
601,Klinklang,315,3,1
605,Elgyem,316,1,1
606,Beheeyem,316,2,1
607,Litwick,317,1,1
608,Lampent,317,2,1
609,Chandelure,317,3,1
610,Axew,318,1,1
611,Fraxure,318,2,1
612,Haxorus,318,3,1
613,Cubchoo,319,1,1
614,Beartic,319,2,1
615,Cryogonal,320,1,1
616,Shelmet,321,1,1
617,Accelgor,321,2,1
618,Stunfisk,322,1,1
619,Mienfoo,323,1,1
620,Mienshao,323,2,1
621,Druddigon,324,1,1
622,Golett,325,1,1
623,Golurk,325,2,1
624,Pawniard,326,1,1
625,Bisharp,326,2,1
626,Bouffalant,327,1,1
627,Rufflet,328,1,1
628,Braviary,328,2,1
629,Vullaby,329,1,1
630,Mandibuzz,329,2,1
631,Heatmor,330,1,1
632,Durant,331,1,1
633,Deino,332,1,1
634,Zweilous,332,2,1
635,Hydreigon,332,3,1
636,Larvesta,333,1,1
637,Volcarona,333,2,1
638,Cobalion,334,1,1
639,Terrakion,335,1,1
640,Virizion,336,1,1
641,Tornadus,337,1,1
642,Thundurus,338,1,1
643,Reshiram,339,1,1
644,Zekrom,340,1,1
645,Landorus,341,1,1
646,Kyurem,342,1,1
647,Keldeo,343,1,1
648,Meloetta,344,1,1
649,Genesect,345,1,1
650,Chespin,346,1,1
651,Quilladin,346,2,1
652,Chesnaught,346,3,1
653,Fennekin,347,1,1
654,Braixen,347,2,1
655,Delphox,347,3,1
656,Froakie,348,1,1
657,Frogadier,348,2,1
658,Greninja,348,3,1
659,Bunnelby,349,1,1
660,Diggersby,349,2,1
661,Fletchling,350,1,1
662,Fletchinder,350,2,1
663,Talonflame,350,3,1
664,Scatterbug,351,1,1
665,Spewpa,351,2,1
666,Vivillon,351,3,1
667,Litleo,352,1,1
668,Pyroar,352,2,1
669,Flabébé,353,1,1
670,Floette,353,2,1
671,Florges,353,3,1
672,Skiddo,354,1,1
673,Gogoat,354,2,1
674,Pancham,355,1,1
675,Pangoro,355,2,1
676,Furfrou,356,1,1
677,Espurr,357,1,1
678,Meowstic,357,2,1
679,Honedge,358,1,1
680,Doublade,358,2,1
681,Aegislash,358,3,1
682,Spritzee,359,1,1
683,Aromatisse,359,2,1
684,Swirlix,360,1,1
685,Slurpuff,360,2,1
686,Inkay,361,1,1
687,Malamar,361,2,1
688,Binacle,362,1,1
689,Barbaracle,362,2,1
690,Skrelp,363,1,1
691,Dragalge,363,2,1
692,Clauncher,364,1,1
693,Clawitzer,364,2,1
694,Helioptile,365,1,1
695,Heliolisk,365,2,1
696,Tyrunt,366,1,1
697,Tyrantrum,366,2,1
698,Amaura,367,1,1
699,Aurorus,367,2,1
701,Hawlucha,368,1,1
702,Dedenne,369,1,1
703,Carbink,370,1,1
704,Goomy,371,1,1
705,Sliggoo,371,2,1
706,Goodra,371,3,1
707,Klefki,372,1,1
708,Phantump,373,1,1
709,Trevenant,373,2,1
710,Pumpkaboo,374,1,1
711,Gourgeist,374,2,1
712,Bergmite,375,1,1
713,Avalugg,375,2,1
714,Noibat,376,1,1
715,Noivern,376,2,1
716,Xerneas,377,1,1
717,Yveltal,378,1,1
718,Zygarde,379,1,1
719,Diancie,380,1,1
720,Hoopa,381,1,1
721,Volcanion,382,1,1
722,Rowlet,383,1,1
723,Dartrix,383,2,1
724,Decidueye,383,3,1
725,Litten,384,1,1
726,Torracat,384,2,1
727,Incineroar,384,3,1
728,Popplio,385,1,1
729,Brionne,385,2,1
730,Primarina,385,3,1
731,Pikipek,386,1,1
732,Trumbeak,386,2,1
733,Toucannon,386,3,1
734,Yungoos,387,1,1
735,Gumshoos,387,2,1
736,Grubbin,388,1,1
737,Charjabug,388,2,1
738,Vikavolt,388,3,1
739,Crabrawler,389,1,1
740,Crabominable,389,2,1
741,Oricorio,390,1,1
742,Cutiefly,391,1,1
743,Ribombee,391,2,1
744,Rockruff,392,1,1
745,Lycanroc,392,2,1
746,Wishiwashi,393,1,1
747,Mareanie,394,1,1
748,Toxapex,394,2,1
749,Mudbray,395,1,1
750,Mudsdale,395,2,1
751,Dewpider,396,1,1
752,Araquanid,396,2,1
753,Fomantis,397,1,1
754,Lurantis,397,2,1
755,Morelull,398,1,1
756,Shiinotic,398,2,1
757,Salandit,399,1,1
758,Salazzle,399,2,1
759,Stufful,400,1,1
760,Bewear,400,2,1
761,Bounsweet,401,1,1
762,Steenee,401,2,1
763,Tsareena,401,3,1
764,Comfey,402,1,1
765,Oranguru,403,1,1
766,Passimian,404,1,1
767,Wimpod,405,1,1
768,Golisopod,405,2,1
769,Sandygast,406,1,1
770,Palossand,406,2,1
771,Pyukumuku,407,1,1
772,Type: Null,408,1,1
773,Silvally,408,2,1
774,Minior,409,1,1
775,Komala,410,1,1
776,Turtonator,411,1,1
777,Togedemaru,412,1,1
778,Mimikyu,413,1,1
779,Bruxish,414,1,1
780,Drampa,415,1,1
781,Dhelmise,416,1,1
782,Jangmo-o,417,1,1
783,Hakamo-o,417,2,1
784,Kommo-o,417,3,1
785,Tapu Koko,418,1,1
786,Tapu Lele,419,1,1
787,Tapu Bulu,420,1,1
788,Tapu Fini,421,1,1
789,Cosmog,422,1,1
790,Cosmoem,422,2,1
791,Solgaleo,422,3,1
792,Lunala,422,3,2
793,Nihilego,423,1,1
794,Buzzwole,424,1,1
795,Pheromosa,425,1,1
796,Xurkitree,426,1,1
797,Celesteela,427,1,1
798,Kartana,428,1,1
799,Guzzlord,429,1,1
800,Necrozma,430,1,1
801,Magearna,431,1,1
802,Marshadow,432,1,1
803,Poipole,433,1,1
804,Naganadel,433,2,1
805,Stakataka,434,1,1
806,Blacephalon,435,1,1
807,Zeraora,436,1,1
808,Meltan,437,1,1
809,Melmetal,437,2,1
862,Obstagoon,136,2,1
863,Perrserker,23,2,1
866,Mr. Rime,59,2,1
867,Runerigus,298,2,1
