Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U)
36,Turtwig,,387,♂,884,106,13,10,4,60.0,28.0,28.0,,,,"2020-06-01 22:54","2020-06-01 22:54",6/1/2020,,,0,0,0,0,9.79%,3695,92.62%,9000,33,Grotle,,0,8.23%,3759,94.21%,41000,161,Torterra,,0
37,Eevee,,133,♂,865,113,15,5,9,64.4,30.0,30.0,,,,"2020-06-01 22:54","2020-06-01 22:54",6/1/2020,,,0,0,0,0,80.59%,796,88.62%,150000,182,Eevee,,0,11.06%,3643,94.34%,16000,39,Leafeon,,0
38,Natu,,177,♂,714,83,9,6,2,37.8,26.0,26.0,,,,"2020-05-31 21:34","2020-05-31 21:34",5/31/2020,,,0,0,2,0,9.96%,3688,92.63%,0,50,Xatu,,0,25.08%,3069,85.13%,186000,264,Xatu,,0
39,Barboach,,339,♂,551,101,4,8,7,42.2,28.0,28.0,,,,"2020-05-31 21:34","2020-05-31 21:34",5/31/2020,,,0,0,2,0,82.00%,738,96.48%,0,50,Whiscash,,0,32.99%,2745,86.11%,169000,248,Whiscash,,0
40,Ralts,,280,♂,229,56,10,6,0,35.6,18.0,18.0,,,,"2020-05-31 21:34","2020-05-31 21:34",5/31/2020,,,0,0,2,0,1.20%,4047,91.12%,0,125,Gardevoir,,0,30.04%,2866,95.25%,100400,213,Gardevoir,,0
41,Turtwig,,387,♂,944,113,12,4,8,53.3,31.0,31.0,,,,"2020-05-31 21:34","2020-05-31 21:34",5/31/2020,,,0,0,2,0,54.70%,1856,84.95%,140000,174,Turtwig,,0,15.63%,3456,94.67%,24000,149,Torterra,,0
42,Rattata,Alola,19,♀,618,80,15,15,7,82.2,31.0,31.0,,,,"2020-05-31 21:34","2020-05-31 21:34",5/31/2020,,,0,0,0,0,25.89%,3036,93.20%,18000,43,Raticate,Alola,0,97.36%,109,96.10%,140000,199,Raticate,Alola,0
43,Rattata,Normal,19,♂,617,82,14,14,10,84.4,31.0,31.0,,,,"2020-05-31 21:34","2020-05-31 21:34",5/31/2020,,,0,0,0,0,53.55%,1903,94.81%,12000,37,Raticate,Normal,0,97.63%,98,95.67%,140000,199,Raticate,Normal,0
44,Starly,,396,♂,313,70,5,10,5,44.4,18.0,18.0,,,,"2020-05-31 21:33","2020-05-31 21:33",5/31/2020,,,0,0,1,0,78.56%,879,96.16%,9400,133,Staraptor,,0,62.08%,1554,96.53%,178400,303,Staraptor,,0
45,Ivysaur,,2,♂,921,94,13,2,0,33.3,21.0,21.0,,,,"2020-05-31 21:33","2020-05-31 21:33",5/31/2020,,,0,0,1,0,3.52%,3952,91.10%,182000,190,Ivysaur,,0,11.38%,3630,93.12%,210000,329,Venusaur,,0
46,Wailmer,,320,♀,822,172,14,14,11,86.7,20.0,20.0,,,,"2020-05-31 18:01","2020-05-31 18:01",5/30/2020,,,0,0,0,0,33.14%,2739,93.49%,17000,416,Wailord,,0,98.68%,55,97.12%,225000,648,Wailord,,0
47,Nidoran♂,,32,♂,420,78,7,15,5,60.0,19.0,19.0,,,,"2020-05-31 16:28","2020-05-31 16:28",5/31/2020,,,0,0,1,0,66.69%,1365,95.37%,13000,136,Nidoking,,0,73.38%,1091,94.17%,230000,377,Nidoking,,0
48,Bellsprout,,69,♂,592,94,4,4,7,33.3,24.0,24.0,,,,"2020-05-31 16:26","2020-05-31 16:26",5/31/2020,,,0,0,2,0,68.91%,1274,95.85%,0,125,Victreebel,,0,17.78%,3368,84.27%,201000,351,Victreebel,,0
49,Shelmet,,616,♀,367,77,11,11,4,57.8,17.0,17.0,,,,"2020-05-30 22:51","2020-05-30 22:51",5/30/2020,,,0,0,1,0,20.83%,3243,93.52%,27800,225,Accelgor,,0,69.52%,1249,90.09%,238800,460,Accelgor,,0
50,Tauros,,128,♂,1451,116,10,13,14,82.2,20.0,20.0,,,,"2020-05-30 21:57","2020-05-30 21:57",5/30/2020,,,0,0,3,0,70.60%,1205,95.87%,2500,2,Tauros,,0,95.19%,198,97.97%,196000,206,Tauros,,0
51,Drowzee,,96,♀,294,70,12,3,4,42.2,11.0,11.0,,,,"2020-05-30 21:56","2020-05-30 21:56",5/30/2020,,,0,0,0,0,25.32%,3059,93.39%,80000,128,Hypno,,0,40.78%,2426,87.50%,258000,334,Hypno,,0
52,Bronzor,,436,,340,99,6,9,0,33.3,25.0,25.0,,,,"2020-05-30 21:56","2020-05-30 21:56",5/30/2020,,,0,0,2,0,46.67%,2185,94.79%,8000,56,Bronzong,,0,14.31%,3510,84.64%,194000,270,Bronzong,,0
53,Taillow,,276,♂,531,93,8,5,12,55.6,28.0,28.0,,,,"2020-05-30 21:56","2020-05-30 21:56",5/30/2020,,,0,0,1,0,57.80%,1729,95.24%,14000,62,Swellow,,0,56.17%,1796,87.55%,169000,248,Swellow,,0
54,Whismur,,293,♂,413,113,15,8,15,84.4,23.0,23.0,,,,"2020-05-30 21:56","2020-05-30 21:56",5/30/2020,,,0,0,1,0,92.43%,311,92.71%,208000,244,Loudred,,0,95.60%,181,95.39%,208000,294,Exploud,,0
55,Weedle,,13,♀,353,94,9,9,5,51.1,34.0,34.0,,,,"2020-05-30 21:55","2020-05-30 21:55",5/30/2020,,,0,0,0,0,60.10%,1635,77.46%,102000,134,Weedle,,0,53.04%,1924,87.44%,102000,196,Beedrill,,0
56,Shellder,,90,♂,605,72,5,6,14,55.6,22.0,22.0,,,,"2020-05-30 21:55","2020-05-30 21:55",5/30/2020,,,0,0,2,0,88.33%,479,96.76%,0,50,Cloyster,,0,72.19%,1140,92.95%,214000,288,Cloyster,,0
57,Shelmet,,616,♀,471,92,4,8,5,37.8,24.0,24.0,,,,"2020-05-30 21:07","2020-05-30 21:07",5/30/2020,,,0,0,1,0,24.62%,3088,77.85%,201000,226,Shelmet,,0,34.16%,2697,85.91%,201000,426,Accelgor,,0
58,Shelmet,,616,♂,126,45,13,7,4,53.3,6.0,6.0,,,,"2020-05-30 21:07","2020-05-30 21:07",5/30/2020,,,0,0,1,0,1.37%,4040,91.45%,55400,259,Accelgor,,0,52.92%,1929,88.09%,266400,494,Accelgor,,0
59,Mudkip,,258,♂,399,71,13,10,12,77.8,13.0,13.0,,,,"2020-05-30 21:07","2020-05-30 21:07",5/30/2020,,,0,1,0,0,7.99%,3769,92.62%,38100,59,Marshtomp,,2,28.13%,2944,95.26%,38100,149,Swampert,,2
60,Pinsir,,127,♀,2142,115,15,14,7,80.0,26.0,26.0,Fury Cutter,Superpower,,"2020-05-30 21:06","2020-05-30 21:06",5/30/2020,,,0,0,0,0,,,,,,,,,26.86%,2996,95.18%,41000,36,Pinsir,,0
61,Karrablast,,588,♀,670,89,15,15,13,95.6,20.0,20.0,,,,"2020-05-30 04:50","2020-05-30 04:50",5/29/2020,,,0,0,1,0,99.83%,8,98.33%,225000,248,Karrablast,,0,32.28%,2774,95.42%,80000,270,Escavalier,,0
62,Dewgong,,87,♀,1660,162,12,13,15,88.9,30.0,30.0,Iron Tail,Aurora Beam,,"2020-05-29 22:35","2020-05-29 22:35",5/2/2020,,,0,0,0,0,,,,,,,,,98.58%,59,97.03%,150000,182,Dewgong,,0
63,Seel,,86,♀,732,122,13,15,14,93.3,27.0,27.0,,,,"2020-05-29 22:31","2020-05-29 22:31",5/29/2020,,,1,0,0,0,99.46%,23,97.30%,89000,206,Seel,,0,99.49%,22,98.14%,89000,256,Dewgong,,0
64,Starly,,396,♀,344,72,7,13,5,55.6,19.0,19.0,,,,"2020-05-29 22:18","2020-05-29 22:18",5/29/2020,,,0,0,2,0,51.45%,1989,94.84%,2500,127,Staraptor,,0,59.76%,1649,96.45%,150000,269,Staraptor,,0
65,Mantine,,226,♀,1497,113,12,4,1,37.8,27.0,27.0,,,,"2020-05-29 22:14","2020-05-29 22:14",5/29/2020,,,0,0,0,0,14.82%,3489,93.06%,0,0,Mantine,,0,29.79%,2876,86.32%,178000,206,Mantine,,0
66,Mantine,,226,♀,1325,114,2,2,9,28.9,25.0,25.0,Bubble,Ice Beam,,"2020-05-29 22:14","2020-05-29 22:14",5/29/2020,,,0,0,1,0,69.74%,1240,96.04%,25000,22,Mantine,,0,12.87%,3569,83.95%,194000,220,Mantine,,0
67,Misdreavus,,200,♂,1386,116,8,7,13,62.2,27.0,27.0,,,,"2020-05-29 22:14","2020-05-29 22:14",5/29/2020,,,0,0,1,0,53.55%,1903,95.17%,18000,16,Misdreavus,,0,79.98%,821,95.92%,178000,306,Mismagius,,0
68,Murkrow,,198,♂,995,103,14,3,0,37.8,25.0,25.0,,,,"2020-05-29 22:13","2020-05-29 22:13",,,,0,0,0,0,18.51%,3338,83.42%,194000,220,Murkrow,,0,18.22%,3350,91.89%,194000,320,Honchkrow,,0
69,Tauros,,128,♂,1952,128,15,2,1,40.0,28.0,28.0,Tackle,Horn Attack,,"2020-05-29 22:13","2020-05-29 22:13",5/29/2020,,,0,0,0,0,,,,,,,,,24.40%,3097,91.03%,169000,198,Tauros,,0
70,Mankey,,56,♂,677,82,7,12,12,68.9,22.0,22.0,,,,"2020-05-29 22:13","2020-05-29 22:13",5/29/2020,,,0,0,1,0,78.05%,900,96.27%,13000,62,Primeape,,0,88.06%,490,93.16%,214000,288,Primeape,,0
71,Mantine,,226,♂,1406,116,6,15,11,71.1,25.0,25.0,,,,"2020-05-29 22:13","2020-05-29 22:13",5/29/2020,,,0,0,1,0,84.91%,619,97.01%,12000,10,Mantine,,0,82.27%,727,92.45%,194000,220,Mantine,,0
72,Gulpin,,316,♀,615,126,7,13,7,60.0,28.0,28.0,,,,"2020-05-29 21:06","2020-05-29 21:06",5/29/2020,,,0,0,2,0,72.04%,1146,96.19%,4500,54,Swalot,,0,72.38%,1132,90.77%,169000,248,Swalot,,0
73,Chikorita,,152,♂,534,85,15,6,11,71.1,21.0,21.0,,,,"2020-05-29 21:06","2020-05-29 21:06",5/29/2020,,,0,0,2,0,1.42%,4038,91.39%,6000,131,Meganium,,0,88.06%,490,93.49%,220000,369,Meganium,,0
74,Caterpie,,10,♀,293,101,2,15,13,66.7,29.0,29.0,,,,"2020-05-29 21:05","2020-05-29 21:05",5/29/2020,,,0,0,1,0,97.41%,107,98.54%,32000,90,Butterfree,,0,83.79%,665,91.47%,160000,252,Butterfree,,0
75,Ekans,,23,♀,677,87,4,12,10,57.8,29.0,29.0,,,,"2020-05-29 21:05","2020-05-29 21:05",5/29/2020,,,0,0,2,0,74.43%,1048,96.41%,5000,54,Arbok,,0,68.42%,1294,89.52%,160000,240,Arbok,,0
76,Axew,,610,♂,759,84,14,12,12,84.4,20.0,20.0,,,,"2020-05-29 21:05","2020-05-29 21:05",5/29/2020,,,0,0,0,0,65.30%,1422,95.49%,24000,47,Fraxure,,0,30.62%,2842,95.13%,27500,150,Haxorus,,0
77,Nidoran♂,,32,♂,459,84,13,15,15,95.6,19.0,19.0,,,,"2020-05-29 21:05","2020-05-29 21:05",5/29/2020,,,0,0,2,0,75.87%,989,95.84%,7500,131,Nidoking,,0,99.24%,32,99.08%,201000,335,Nidoking,,0
78,Eevee,,133,♂,837,109,13,6,3,48.9,30.0,30.0,,,,"2020-05-29 21:04","2020-05-29 21:04",5/29/2020,,,0,0,1,0,53.80%,1893,84.26%,150000,182,Eevee,,0,6.15%,3844,93.96%,34000,57,Leafeon,,0
79,Chimchar,,390,♂,458,80,7,6,11,53.3,19.0,19.0,,,,"2020-05-29 21:04","2020-05-29 21:04",5/29/2020,,,0,0,2,0,81.27%,768,96.30%,10000,133,Infernape,,0,83.66%,670,96.56%,230000,377,Infernape,,0
80,Sableye,,302,♂,824,87,14,15,10,86.7,20.0,20.0,,,,"2020-05-29 21:04","2020-05-29 21:04",5/29/2020,,,0,0,0,0,98.53%,61,96.05%,225000,248,Sableye,,0,98.53%,61,96.05%,225000,248,Sableye,,0
81,Murkrow,,198,♂,742,90,5,8,1,31.1,19.0,19.0,,,,"2020-05-29 19:44","2020-05-29 19:44",5/29/2020,,,0,0,1,0,28.25%,2939,93.60%,10000,108,Honchkrow,,0,29.01%,2908,93.38%,230000,352,Honchkrow,,0
82,Piplup,,393,♀,515,88,5,9,10,53.3,19.0,19.0,,,,"2020-05-28 22:56","2020-05-28 22:56",5/28/2020,,,0,0,2,0,82.61%,713,96.41%,192000,223,Prinplup,,0,75.90%,988,97.00%,135000,251,Empoleon,,0
83,Turtwig,,387,♂,859,106,6,3,0,20.0,30.0,30.0,,,,"2020-05-28 22:55","2020-05-28 22:55",5/28/2020,,,0,0,1,0,20.02%,3276,93.43%,34000,57,Grotle,,0,17.07%,3397,94.74%,78000,209,Torterra,,0
84,Starly,,396,♀,550,95,6,6,7,42.2,34.0,34.0,,,,"2020-05-28 22:55","2020-05-28 22:55",5/28/2020,,,0,0,1,0,32.77%,2754,81.72%,102000,159,Staravia,,0,70.72%,1200,96.89%,55000,193,Staraptor,,0
85,Magnemite,,81,,938,68,15,13,9,82.2,25.0,25.0,,,,"2020-05-28 22:55","2020-05-28 22:55",5/28/2020,,,0,0,1,0,93.99%,247,92.73%,194000,220,Magnemite,,0,13.09%,3560,93.92%,20500,143,Magnezone,,0
86,Panpour,,515,♂,517,90,10,13,14,82.2,20.0,20.0,,,,"2020-05-28 22:55","2020-05-28 22:55",5/28/2020,,,0,0,0,0,86.25%,564,96.68%,17000,66,Simipour,,0,97.41%,107,96.42%,225000,298,Simipour,,0
87,Mantine,,226,♂,1595,120,12,7,8,60.0,28.0,28.0,,,,"2020-05-28 12:43","2020-05-28 12:43",5/28/2020,,,0,0,1,0,,,,,,,,,76.02%,983,91.51%,169000,198,Mantine,,0
88,Bidoof,,399,♀,555,112,14,10,4,62.2,29.0,29.0,,,,"2020-05-28 12:43","2020-05-28 12:43",5/28/2020,,,0,0,0,0,23.30%,3142,93.75%,15000,62,Bibarel,,0,76.21%,975,90.34%,160000,240,Bibarel,,0
89,Piplup,,393,♂,468,82,2,11,3,35.6,18.0,18.0,,,,"2020-05-28 12:31","2020-05-28 12:31",5/28/2020,,,0,0,1,0,82.71%,709,96.41%,234400,281,Prinplup,,0,89.23%,442,97.72%,170400,293,Empoleon,,0
90,Mantine,,226,♂,1368,115,7,14,14,77.8,24.0,24.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,0,1,0,72.38%,1132,96.20%,15000,12,Mantine,,0,90.43%,393,94.02%,201000,226,Mantine,,0
91,Lapras,,131,♂,556,106,12,2,6,44.4,8.0,8.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,1,1,0,11.55%,3623,93.10%,52330,72,Lapras,,1,65.45%,1416,95.74%,170600,201,Lapras,,2
92,Ditto,,132,,121,45,9,6,9,53.3,6.0,6.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,0,4,0,58.51%,1700,83.38%,266400,294,Ditto,,0,58.51%,1700,83.38%,266400,294,Ditto,,0
93,Mantine,,226,♀,1258,104,15,7,3,55.6,22.0,22.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,0,1,0,8.11%,3764,92.49%,28000,24,Mantine,,0,67.67%,1325,90.47%,214000,238,Mantine,,0
94,Lillipup,,506,♂,507,85,12,14,15,91.1,20.0,20.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,0,1,0,96.83%,131,98.13%,178000,207,Herdier,,0,63.54%,1494,96.43%,103000,217,Stoutland,,0
95,Starly,,396,♂,551,101,5,4,14,51.1,34.0,34.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,0,0,0,45.05%,2251,83.52%,102000,159,Staravia,,0,69.30%,1258,96.83%,46000,181,Staraptor,,0
96,Chimchar,,390,♂,447,79,1,12,10,51.1,19.0,19.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,0,0,0,93.46%,269,97.36%,10000,133,Infernape,,0,88.67%,465,96.98%,230000,377,Infernape,,0
97,Mantine,,226,♂,1172,108,7,3,15,55.6,21.0,21.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,0,0,0,51.48%,1988,95.12%,38000,34,Mantine,,0,66.76%,1362,90.36%,220000,244,Mantine,,0
98,Chimchar,,390,♀,541,83,15,15,12,93.3,20.0,20.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/28/2020,,,0,0,1,0,92.87%,293,96.75%,169000,195,Monferno,,0,79.63%,835,96.29%,145000,265,Infernape,,0
99,Lillipup,,506,♀,504,83,13,13,12,84.4,20.0,20.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/27/2020,,,0,0,0,0,93.33%,274,97.34%,187000,219,Herdier,,0,50.60%,2024,95.93%,109000,223,Stoutland,,0
100,Buneary,,427,♀,892,108,3,13,7,51.1,28.0,28.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/27/2020,,,0,0,5,0,91.21%,361,96.91%,0,50,Lopunny,,0,48.67%,2103,88.15%,169000,248,Lopunny,,0
101,Turtwig,,387,♀,830,105,12,4,6,48.9,27.0,27.0,,,,"2020-05-28 12:27","2020-05-28 12:27",5/27/2020,,,0,0,1,0,22.54%,3173,93.58%,28000,49,Grotle,,0,6.79%,3818,94.10%,62000,181,Torterra,,0
