id,atk,def,sta,percent,,,,,,,,
"15,7,12",15,07,12,76,,15,07,12,150712,150712,150712,15;07;12
"15,7,11",15,07,11,73,,15,07,11,150711,150711,150711,15;07;11
"15,7,10",15,07,10,71,,15,07,10,150710,150710,150710,15;07;10
"15,7,9",15,07,09,69,,15,07,09,150709,150709,150709,15;07;09
"15,7,8",15,07,08,67,,15,07,08,150708,150708,150708,15;07;08
"15,7,7",15,07,07,64,,15,07,07,150707,150707,150707,15;07;07
"15,7,6",15,07,06,62,,15,07,06,150706,150706,150706,15;07;06
"15,7,5",15,07,05,60,,15,07,05,150705,150705,150705,15;07;05
"15,7,4",15,07,04,58,,15,07,04,150704,150704,150704,15;07;04
"15,7,3",15,07,03,56,,15,07,03,150703,150703,150703,15;07;03
"15,7,2",15,07,02,53,,15,07,02,150702,150702,150702,15;07;02
"15,7,1",15,07,01,51,,15,07,01,150701,150701,150701,15;07;01
"15,7,0",15,07,00,49,,15,07,00,150700,150700,150700,15;07;00
"15,6,15",15,06,15,80,,15,06,15,150615,150615,150615,15;06;15
"15,6,14",15,06,14,78,,15,06,14,150614,150614,150614,15;06;14
"15,6,13",15,06,13,76,,15,06,13,150613,150613,150613,15;06;13
"15,6,12",15,06,12,73,,15,06,12,150612,150612,150612,15;06;12
"15,6,11",15,06,11,71,,15,06,11,150611,150611,150611,15;06;11
"15,6,10",15,06,10,69,,15,06,10,150610,150610,150610,15;06;10
"15,6,9",15,06,09,67,,15,06,09,150609,150609,150609,15;06;09
"15,6,8",15,06,08,64,,15,06,08,150608,150608,150608,15;06;08
"15,6,7",15,06,07,62,,15,06,07,150607,150607,150607,15;06;07
"15,6,6",15,06,06,60,,15,06,06,150606,150606,150606,15;06;06
"15,6,5",15,06,05,58,,15,06,05,150605,150605,150605,15;06;05
"15,6,4",15,06,04,56,,15,06,04,150604,150604,150604,15;06;04
"15,6,3",15,06,03,53,,15,06,03,150603,150603,150603,15;06;03
"15,6,2",15,06,02,51,,15,06,02,150602,150602,150602,15;06;02
"15,6,1",15,06,01,49,,15,06,01,150601,150601,150601,15;06;01
"15,6,0",15,06,00,47,,15,06,00,150600,150600,150600,15;06;00
"15,5,15",15,05,15,78,,15,05,15,150515,150515,150515,15;05;15
"15,5,14",15,05,14,76,,15,05,14,150514,150514,150514,15;05;14
"15,5,13",15,05,13,73,,15,05,13,150513,150513,150513,15;05;13
"15,5,12",15,05,12,71,,15,05,12,150512,150512,150512,15;05;12
"15,5,11",15,05,11,69,,15,05,11,150511,150511,150511,15;05;11
"15,5,10",15,05,10,67,,15,05,10,150510,150510,150510,15;05;10
"15,5,9",15,05,09,64,,15,05,09,150509,150509,150509,15;05;09
"15,5,8",15,05,08,62,,15,05,08,150508,150508,150508,15;05;08
"15,5,7",15,05,07,60,,15,05,07,150507,150507,150507,15;05;07
"15,5,6",15,05,06,58,,15,05,06,150506,150506,150506,15;05;06
"15,5,5",15,05,05,56,,15,05,05,150505,150505,150505,15;05;05
"15,5,4",15,05,04,53,,15,05,04,150504,150504,150504,15;05;04
"15,5,3",15,05,03,51,,15,05,03,150503,150503,150503,15;05;03
"15,5,2",15,05,02,49,,15,05,02,150502,150502,150502,15;05;02
"15,5,1",15,05,01,47,,15,05,01,150501,150501,150501,15;05;01
"15,5,0",15,05,00,44,,15,05,00,150500,150500,150500,15;05;00
"15,4,15",15,04,15,76,,15,04,15,150415,150415,150415,15;04;15
"15,4,14",15,04,14,73,,15,04,14,150414,150414,150414,15;04;14
"15,4,13",15,04,13,71,,15,04,13,150413,150413,150413,15;04;13
"15,4,12",15,04,12,69,,15,04,12,150412,150412,150412,15;04;12
"15,4,11",15,04,11,67,,15,04,11,150411,150411,150411,15;04;11
"15,4,10",15,04,10,64,,15,04,10,150410,150410,150410,15;04;10
"15,4,9",15,04,09,62,,15,04,09,150409,150409,150409,15;04;09
"15,4,8",15,04,08,60,,15,04,08,150408,150408,150408,15;04;08
"15,4,7",15,04,07,58,,15,04,07,150407,150407,150407,15;04;07
"15,4,6",15,04,06,56,,15,04,06,150406,150406,150406,15;04;06
"15,4,5",15,04,05,53,,15,04,05,150405,150405,150405,15;04;05
"15,4,4",15,04,04,51,,15,04,04,150404,150404,150404,15;04;04
"15,4,3",15,04,03,49,,15,04,03,150403,150403,150403,15;04;03
"15,4,2",15,04,02,47,,15,04,02,150402,150402,150402,15;04;02
"15,4,1",15,04,01,44,,15,04,01,150401,150401,150401,15;04;01
"15,4,0",15,04,00,42,,15,04,00,150400,150400,150400,15;04;00
"15,3,15",15,03,15,73,,15,03,15,150315,150315,150315,15;03;15
"15,3,14",15,03,14,71,,15,03,14,150314,150314,150314,15;03;14
"15,3,13",15,03,13,69,,15,03,13,150313,150313,150313,15;03;13
"15,3,12",15,03,12,67,,15,03,12,150312,150312,150312,15;03;12
"15,3,11",15,03,11,64,,15,03,11,150311,150311,150311,15;03;11
"15,3,10",15,03,10,62,,15,03,10,150310,150310,150310,15;03;10
"15,3,9",15,03,09,60,,15,03,09,150309,150309,150309,15;03;09
"15,3,8",15,03,08,58,,15,03,08,150308,150308,150308,15;03;08
"15,3,7",15,03,07,56,,15,03,07,150307,150307,150307,15;03;07
"15,3,6",15,03,06,53,,15,03,06,150306,150306,150306,15;03;06
"15,3,5",15,03,05,51,,15,03,05,150305,150305,150305,15;03;05
"15,3,4",15,03,04,49,,15,03,04,150304,150304,150304,15;03;04
"15,3,3",15,03,03,47,,15,03,03,150303,150303,150303,15;03;03
"15,3,2",15,03,02,44,,15,03,02,150302,150302,150302,15;03;02
"15,3,1",15,03,01,42,,15,03,01,150301,150301,150301,15;03;01
"15,3,0",15,03,00,40,,15,03,00,150300,150300,150300,15;03;00
"15,2,15",15,02,15,71,,15,02,15,150215,150215,150215,15;02;15
"15,2,14",15,02,14,69,,15,02,14,150214,150214,150214,15;02;14
"15,2,13",15,02,13,67,,15,02,13,150213,150213,150213,15;02;13
"15,2,12",15,02,12,64,,15,02,12,150212,150212,150212,15;02;12
"15,2,11",15,02,11,62,,15,02,11,150211,150211,150211,15;02;11
"15,2,10",15,02,10,60,,15,02,10,150210,150210,150210,15;02;10
"15,2,9",15,02,09,58,,15,02,09,150209,150209,150209,15;02;09
"15,2,8",15,02,08,56,,15,02,08,150208,150208,150208,15;02;08
"15,2,7",15,02,07,53,,15,02,07,150207,150207,150207,15;02;07
"15,2,6",15,02,06,51,,15,02,06,150206,150206,150206,15;02;06
"15,2,5",15,02,05,49,,15,02,05,150205,150205,150205,15;02;05
"15,2,4",15,02,04,47,,15,02,04,150204,150204,150204,15;02;04
"15,2,3",15,02,03,44,,15,02,03,150203,150203,150203,15;02;03
"15,2,2",15,02,02,42,,15,02,02,150202,150202,150202,15;02;02
"15,2,1",15,02,01,40,,15,02,01,150201,150201,150201,15;02;01
"15,2,0",15,02,00,38,,15,02,00,150200,150200,150200,15;02;00
"15,1,15",15,01,15,69,,15,01,15,150115,150115,150115,15;01;15
"15,1,14",15,01,14,67,,15,01,14,150114,150114,150114,15;01;14
"15,1,13",15,01,13,64,,15,01,13,150113,150113,150113,15;01;13
"15,1,12",15,01,12,62,,15,01,12,150112,150112,150112,15;01;12
"15,1,11",15,01,11,60,,15,01,11,150111,150111,150111,15;01;11
"15,1,10",15,01,10,58,,15,01,10,150110,150110,150110,15;01;10
"15,1,9",15,01,09,56,,15,01,09,150109,150109,150109,15;01;09
"15,1,8",15,01,08,53,,15,01,08,150108,150108,150108,15;01;08
"15,1,7",15,01,07,51,,15,01,07,150107,150107,150107,15;01;07
"15,1,6",15,01,06,49,,15,01,06,150106,150106,150106,15;01;06
"15,1,5",15,01,05,47,,15,01,05,150105,150105,150105,15;01;05
"15,1,4",15,01,04,44,,15,01,04,150104,150104,150104,15;01;04
"15,1,3",15,01,03,42,,15,01,03,150103,150103,150103,15;01;03
"15,1,2",15,01,02,40,,15,01,02,150102,150102,150102,15;01;02
"15,1,1",15,01,01,38,,15,01,01,150101,150101,150101,15;01;01
"15,1,0",15,01,00,36,,15,01,00,150100,150100,150100,15;01;00
"15,0,15",15,00,15,67,,15,00,15,150015,150015,150015,15;00;15
"15,0,14",15,00,14,64,,15,00,14,150014,150014,150014,15;00;14
"15,0,13",15,00,13,62,,15,00,13,150013,150013,150013,15;00;13
"15,0,12",15,00,12,60,,15,00,12,150012,150012,150012,15;00;12
"15,0,11",15,00,11,58,,15,00,11,150011,150011,150011,15;00;11
"15,0,10",15,00,10,56,,15,00,10,150010,150010,150010,15;00;10
"15,0,9",15,00,09,53,,15,00,09,150009,150009,150009,15;00;09
"15,0,8",15,00,08,51,,15,00,08,150008,150008,150008,15;00;08
"15,0,7",15,00,07,49,,15,00,07,150007,150007,150007,15;00;07
"15,0,6",15,00,06,47,,15,00,06,150006,150006,150006,15;00;06
"15,0,5",15,00,05,44,,15,00,05,150005,150005,150005,15;00;05
"15,0,4",15,00,04,42,,15,00,04,150004,150004,150004,15;00;04
"15,0,3",15,00,03,40,,15,00,03,150003,150003,150003,15;00;03
"15,0,2",15,00,02,38,,15,00,02,150002,150002,150002,15;00;02
"15,0,1",15,00,01,36,,15,00,01,150001,150001,150001,15;00;01
"15,0,0",15,00,00,33,,15,00,00,150000,150000,150000,15;00;00
"14,15,15",14,15,15,98,,14,15,15,141515,141515,141515,14;15;15
"14,15,14",14,15,14,96,,14,15,14,141514,141514,141514,14;15;14
"14,15,13",14,15,13,93,,14,15,13,141513,141513,141513,14;15;13
"14,15,12",14,15,12,91,,14,15,12,141512,141512,141512,14;15;12
"14,15,11",14,15,11,89,,14,15,11,141511,141511,141511,14;15;11
"14,15,10",14,15,10,87,,14,15,10,141510,141510,141510,14;15;10
"14,15,9",14,15,09,84,,14,15,09,141509,141509,141509,14;15;09
"14,15,8",14,15,08,82,,14,15,08,141508,141508,141508,14;15;08
"14,15,7",14,15,07,80,,14,15,07,141507,141507,141507,14;15;07
"14,15,6",14,15,06,78,,14,15,06,141506,141506,141506,14;15;06
"14,15,5",14,15,05,76,,14,15,05,141505,141505,141505,14;15;05
"14,15,4",14,15,04,73,,14,15,04,141504,141504,141504,14;15;04
"14,15,3",14,15,03,71,,14,15,03,141503,141503,141503,14;15;03
"14,15,2",14,15,02,69,,14,15,02,141502,141502,141502,14;15;02
"14,15,1",14,15,01,67,,14,15,01,141501,141501,141501,14;15;01
"14,15,0",14,15,00,64,,14,15,00,141500,141500,141500,14;15;00
"14,14,15",14,14,15,96,,14,14,15,141415,141415,141415,14;14;15
"14,14,14",14,14,14,93,,14,14,14,141414,141414,141414,14;14;14
"14,14,13",14,14,13,91,,14,14,13,141413,141413,141413,14;14;13
"14,14,12",14,14,12,89,,14,14,12,141412,141412,141412,14;14;12
"14,14,11",14,14,11,87,,14,14,11,141411,141411,141411,14;14;11
"14,14,10",14,14,10,84,,14,14,10,141410,141410,141410,14;14;10
"14,14,9",14,14,09,82,,14,14,09,141409,141409,141409,14;14;09
"14,14,8",14,14,08,80,,14,14,08,141408,141408,141408,14;14;08
"14,14,7",14,14,07,78,,14,14,07,141407,141407,141407,14;14;07
"14,14,6",14,14,06,76,,14,14,06,141406,141406,141406,14;14;06
"14,14,5",14,14,05,73,,14,14,05,141405,141405,141405,14;14;05
"14,14,4",14,14,04,71,,14,14,04,141404,141404,141404,14;14;04
"14,14,3",14,14,03,69,,14,14,03,141403,141403,141403,14;14;03
"14,14,2",14,14,02,67,,14,14,02,141402,141402,141402,14;14;02
"14,14,1",14,14,01,64,,14,14,01,141401,141401,141401,14;14;01
"14,14,0",14,14,00,62,,14,14,00,141400,141400,141400,14;14;00
"14,13,15",14,13,15,93,,14,13,15,141315,141315,141315,14;13;15
"14,13,14",14,13,14,91,,14,13,14,141314,141314,141314,14;13;14
"14,13,13",14,13,13,89,,14,13,13,141313,141313,141313,14;13;13
"14,13,12",14,13,12,87,,14,13,12,141312,141312,141312,14;13;12
"14,13,11",14,13,11,84,,14,13,11,141311,141311,141311,14;13;11
"14,13,10",14,13,10,82,,14,13,10,141310,141310,141310,14;13;10
"14,13,9",14,13,09,80,,14,13,09,141309,141309,141309,14;13;09
"14,13,8",14,13,08,78,,14,13,08,141308,141308,141308,14;13;08
"14,13,7",14,13,07,76,,14,13,07,141307,141307,141307,14;13;07
"14,13,6",14,13,06,73,,14,13,06,141306,141306,141306,14;13;06
"14,13,5",14,13,05,71,,14,13,05,141305,141305,141305,14;13;05
"14,13,4",14,13,04,69,,14,13,04,141304,141304,141304,14;13;04
"14,13,3",14,13,03,67,,14,13,03,141303,141303,141303,14;13;03
"14,13,2",14,13,02,64,,14,13,02,141302,141302,141302,14;13;02
"14,13,1",14,13,01,62,,14,13,01,141301,141301,141301,14;13;01
"14,13,0",14,13,00,60,,14,13,00,141300,141300,141300,14;13;00
"14,12,15",14,12,15,91,,14,12,15,141215,141215,141215,14;12;15
"14,12,14",14,12,14,89,,14,12,14,141214,141214,141214,14;12;14
"14,12,13",14,12,13,87,,14,12,13,141213,141213,141213,14;12;13
"14,12,12",14,12,12,84,,14,12,12,141212,141212,141212,14;12;12
"14,12,11",14,12,11,82,,14,12,11,141211,141211,141211,14;12;11
"14,12,10",14,12,10,80,,14,12,10,141210,141210,141210,14;12;10
"14,12,9",14,12,09,78,,14,12,09,141209,141209,141209,14;12;09
"14,12,8",14,12,08,76,,14,12,08,141208,141208,141208,14;12;08
"14,12,7",14,12,07,73,,14,12,07,141207,141207,141207,14;12;07
"14,12,6",14,12,06,71,,14,12,06,141206,141206,141206,14;12;06
"14,12,5",14,12,05,69,,14,12,05,141205,141205,141205,14;12;05
"14,12,4",14,12,04,67,,14,12,04,141204,141204,141204,14;12;04
"14,12,3",14,12,03,64,,14,12,03,141203,141203,141203,14;12;03
"14,12,2",14,12,02,62,,14,12,02,141202,141202,141202,14;12;02
"14,12,1",14,12,01,60,,14,12,01,141201,141201,141201,14;12;01
"14,12,0",14,12,00,58,,14,12,00,141200,141200,141200,14;12;00
"14,11,15",14,11,15,89,,14,11,15,141115,141115,141115,14;11;15
"14,11,14",14,11,14,87,,14,11,14,141114,141114,141114,14;11;14
"14,11,13",14,11,13,84,,14,11,13,141113,141113,141113,14;11;13
"14,11,12",14,11,12,82,,14,11,12,141112,141112,141112,14;11;12
"14,11,11",14,11,11,80,,14,11,11,141111,141111,141111,14;11;11
"14,11,10",14,11,10,78,,14,11,10,141110,141110,141110,14;11;10
"14,11,9",14,11,09,76,,14,11,09,141109,141109,141109,14;11;09
"14,11,8",14,11,08,73,,14,11,08,141108,141108,141108,14;11;08
"14,11,7",14,11,07,71,,14,11,07,141107,141107,141107,14;11;07
"14,11,6",14,11,06,69,,14,11,06,141106,141106,141106,14;11;06
"14,11,5",14,11,05,67,,14,11,05,141105,141105,141105,14;11;05
"14,11,4",14,11,04,64,,14,11,04,141104,141104,141104,14;11;04
"14,11,3",14,11,03,62,,14,11,03,141103,141103,141103,14;11;03
"14,11,2",14,11,02,60,,14,11,02,141102,141102,141102,14;11;02
"14,11,1",14,11,01,58,,14,11,01,141101,141101,141101,14;11;01
"14,11,0",14,11,00,56,,14,11,00,141100,141100,141100,14;11;00
"14,10,15",14,10,15,87,,14,10,15,141015,141015,141015,14;10;15
"14,10,14",14,10,14,84,,14,10,14,141014,141014,141014,14;10;14
"14,10,13",14,10,13,82,,14,10,13,141013,141013,141013,14;10;13
"14,10,12",14,10,12,80,,14,10,12,141012,141012,141012,14;10;12
"14,10,11",14,10,11,78,,14,10,11,141011,141011,141011,14;10;11
"14,10,10",14,10,10,76,,14,10,10,141010,141010,141010,14;10;10
"14,10,9",14,10,09,73,,14,10,09,141009,141009,141009,14;10;09
"14,10,8",14,10,08,71,,14,10,08,141008,141008,141008,14;10;08
"14,10,7",14,10,07,69,,14,10,07,141007,141007,141007,14;10;07
"14,10,6",14,10,06,67,,14,10,06,141006,141006,141006,14;10;06
"14,10,5",14,10,05,64,,14,10,05,141005,141005,141005,14;10;05
"14,10,4",14,10,04,62,,14,10,04,141004,141004,141004,14;10;04
"14,10,3",14,10,03,60,,14,10,03,141003,141003,141003,14;10;03
"14,10,2",14,10,02,58,,14,10,02,141002,141002,141002,14;10;02
"14,10,1",14,10,01,56,,14,10,01,141001,141001,141001,14;10;01
"14,10,0",14,10,00,53,,14,10,00,141000,141000,141000,14;10;00
"14,9,15",14,09,15,84,,14,09,15,140915,140915,140915,14;09;15
"14,9,14",14,09,14,82,,14,09,14,140914,140914,140914,14;09;14
"14,9,13",14,09,13,80,,14,09,13,140913,140913,140913,14;09;13
"14,9,12",14,09,12,78,,14,09,12,140912,140912,140912,14;09;12
"14,9,11",14,09,11,76,,14,09,11,140911,140911,140911,14;09;11
"14,9,10",14,09,10,73,,14,09,10,140910,140910,140910,14;09;10
"14,9,9",14,09,09,71,,14,09,09,140909,140909,140909,14;09;09
"14,9,8",14,09,08,69,,14,09,08,140908,140908,140908,14;09;08
"14,9,7",14,09,07,67,,14,09,07,140907,140907,140907,14;09;07
"14,9,6",14,09,06,64,,14,09,06,140906,140906,140906,14;09;06
"14,9,5",14,09,05,62,,14,09,05,140905,140905,140905,14;09;05
"14,9,4",14,09,04,60,,14,09,04,140904,140904,140904,14;09;04
"14,9,3",14,09,03,58,,14,09,03,140903,140903,140903,14;09;03
"14,9,2",14,09,02,56,,14,09,02,140902,140902,140902,14;09;02
"14,9,1",14,09,01,53,,14,09,01,140901,140901,140901,14;09;01
"14,9,0",14,09,00,51,,14,09,00,140900,140900,140900,14;09;00
"14,8,15",14,08,15,82,,14,08,15,140815,140815,140815,14;08;15
"14,8,14",14,08,14,80,,14,08,14,140814,140814,140814,14;08;14
"14,8,13",14,08,13,78,,14,08,13,140813,140813,140813,14;08;13
"14,8,12",14,08,12,76,,14,08,12,140812,140812,140812,14;08;12
"14,8,11",14,08,11,73,,14,08,11,140811,140811,140811,14;08;11
"14,8,10",14,08,10,71,,14,08,10,140810,140810,140810,14;08;10
"14,8,9",14,08,09,69,,14,08,09,140809,140809,140809,14;08;09
"14,8,8",14,08,08,67,,14,08,08,140808,140808,140808,14;08;08
"14,8,7",14,08,07,64,,14,08,07,140807,140807,140807,14;08;07
