Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U)
Caterpie,,10,?,28,28,10,14,3,60,3,3,,,,2020-37-05 08:37,2020-37-05 08:37,5/5/2020,,,0,0,2,0,63.52%,1495,95.95%,135200,194,Butterfree,,0,70.26%,1219,89.40%,269200,362,Butterfree,,0
Caterpie,,10,?,233,85,11,14,15,88.9,20,20,,,,2020-25-03 20:25,2020-25-03 20:25,5/3/2020,,,0,0,2,0,41.71%,2388,94.89%,65000,120,Butterfree,,0,99.12%,37,97.16%,225000,310,Butterfree,,0
Raticate,Normal,20,?,1295,112,6,4,11,46.7,29,29,Quick Attack,Dig,,2020-25-28 14:25,2020-25-28 14:25,3/24/2020,17.08kg,0.6m,0,0,1,5000,63.61%,1491,95.31%,104000,112,Raticate,Normal,0,45.84%,2219,86.03%,160000,190,Raticate,Normal,0
Raticate,Normal,20,?,1337,114,4,8,10,48.9,30,30,Quick Attack,Hyper Fang,,2020-54-26 07:54,2020-54-26 07:54,4/6/2020,32.31kg,0.91m,0,0,1,5000,75.70%,996,96.01%,94000,104,Raticate,Normal,0,51.16%,2001,86.67%,150000,182,Raticate,Normal,0
Spearow,,21,?,573,91,13,13,14,88.9,26,26,,,,7/7/2020 20:07,7/7/2020 20:07,5/7/2020,,,1,0,2,0,43.52%,2314,94.38%,2000,54,Fearow,,0,98.66%,56,96.95%,93000,264,Fearow,,0
Spearow,,21,?,581,85,11,14,1,57.8,28,28,,,,2020-59-04 18:59,2020-59-04 18:59,5/4/2020,,,0,0,2,0,45.01%,2253,94.45%,0,50,Fearow,,0,68.62%,1286,89.66%,169000,248,Fearow,,0
Fearow,,22,?,1497,120,13,13,11,82.2,27,27,Steel Wing,Sky Attack,,1/7/2020 20:01,1/7/2020 20:01,5/2/2020,,,0,0,0,0,64.81%,1442,95.36%,0,0,Fearow,,0,96.61%,140,95.55%,178000,206,Fearow,,0
Raichu,Normal,26,?,953,88,10,13,10,73.3,16,16,Thunder Shock,Brick Break,,2020-25-28 14:25,2020-25-28 14:25,3/20/2020,40.98kg,0.97m,0,0,0,1900,74.77%,1034,95.57%,48600,44,Raichu,Normal,0,90.92%,373,93.54%,242600,264,Raichu,Normal,0
Sandshrew,Normal,27,?,272,56,13,9,13,77.8,8,8,,,,2020-37-18 13:37,2020-37-18 13:37,5/18/2020,,,0,1,1,0,21.03%,3235,93.20%,63126,134,Sandslash,Normal,1,99.07%,39,97.89%,177600,258,Sandslash,Normal,2
Sandshrew,Normal,27,?,759,95,15,4,15,75.6,22,22,Mud Shot,Return,,2020-25-28 14:25,2020-25-28 14:25,3/2/2020,7.99kg,0.47m,0,2,2,2700,19.49%,3298,93.10%,2700,48,Sandslash,Normal,2,90.33%,397,94.21%,192600,273,Sandslash,Normal,2
Nidoran?,,29,?,441,91,13,13,7,73.3,20,20,,,,2020-54-02 11:54,2020-54-02 11:54,5/2/2020,,,0,0,1,0,20.88%,3241,93.49%,8000,132,Nidoqueen,,0,91.97%,330,94.56%,225000,373,Nidoqueen,,0
Nidorina,,30,?,761,112,12,15,12,86.7,21,21,,,,2020-25-28 14:25,2020-25-28 14:25,3/31/2020,,,0,0,2,0,74.73%,1036,96.15%,3000,103,Nidoqueen,,0,98.75%,52,97.34%,220000,344,Nidoqueen,,0
Nidoqueen,,31,?,1539,141,6,11,14,68.9,23,23,Bite,Earth Power,,2020-26-28 14:26,2020-26-28 14:26,3/19/2020,45.7kg,1.19m,0,0,1,3500,,,,,,,,,83.37%,682,92.82%,208000,232,Nidoqueen,,0
Nidoran?,,32,?,399,82,1,11,12,53.3,19,19,,,,2020-50-05 11:50,2020-50-05 11:50,5/5/2020,,,0,0,1,0,93.60%,263,97.19%,16000,139,Nidoking,,0,61.90%,1561,92.83%,230000,377,Nidoking,,0
Nidorino,,33,?,779,102,10,9,11,66.7,21,21,,,,2020-26-28 14:26,2020-26-28 14:26,4/24/2020,,,0,0,2,0,85.23%,606,96.42%,3000,103,Nidoking,,0,80.49%,800,95.15%,220000,344,Nidoking,,0
Nidoking,,34,?,1078,105,13,13,13,86.7,15,15,Poison Jab,Megahorn,,7/5/2020 20:07,7/5/2020 20:07,5/5/2020,,,0,0,1,0,35.31%,2650,93.95%,23900,22,Nidoking,,0,98.32%,70,98.73%,236400,253,Nidoking,,0
Nidoking,,34,?,928,98,11,14,13,84.4,13,13,Iron Tail,Sludge Wave,,2020-26-28 14:26,2020-26-28 14:26,2/25/2020,69.58kg,1.51m,0,0,1,1600,88.72%,463,96.70%,32800,32,Nidoking,,0,99.85%,7,99.73%,252800,276,Nidoking,,0
Clefable,,36,?,1211,130,9,14,15,84.4,18,18,Zen Headbutt,Psychic,,2020-26-28 14:26,2020-26-28 14:26,2/16/2020,,,0,0,1,0,64.79%,1443,95.59%,20400,18,Clefable,,0,97.46%,105,96.34%,234400,256,Clefable,,0
Vulpix,Normal,37,?,518,82,6,11,12,64.4,23,23,,,,2020-54-07 16:54,2020-54-07 16:54,5/7/2020,,,0,0,1,0,80.49%,800,96.39%,10500,59,Ninetales,Normal,0,78.46%,883,92.02%,208000,282,Ninetales,Normal,0
Vulpix,Normal,37,?,508,81,10,6,14,66.7,22,22,,,,2020-39-07 14:39,2020-39-07 14:39,5/6/2020,,,0,0,1,0,35.51%,2642,94.18%,13000,62,Ninetales,Normal,0,81.22%,770,92.40%,214000,288,Ninetales,Normal,0
Ninetales,Normal,38,?,983,102,3,0,10,28.9,17,17,Fire Spin,Solar Beam,,2020-52-01 12:52,2020-52-01 12:52,4/26/2020,,,0,0,1,0,47.28%,2160,94.71%,48800,43,Ninetales,Normal,0,12.21%,3596,84.34%,238800,260,Ninetales,Normal,0
Wigglytuff,,40,?,1312,199,15,9,4,62.2,25,25,Feint Attack,Ice Beam,,2020-33-05 13:33,2020-33-05 13:33,5/5/2020,,,0,0,1,0,24.47%,3094,93.36%,29500,26,Wigglytuff,,0,79.29%,849,91.19%,194000,220,Wigglytuff,,0
Wigglytuff,,40,?,1295,202,15,11,15,91.1,24,24,Pound,Dazzling Gleam,,2020-26-28 14:26,2020-26-28 14:26,2/16/2020,16.25kg,1.2m,0,0,1,3500,28.67%,2922,93.63%,27500,24,Wigglytuff,,0,97.31%,111,96.19%,201000,226,Wigglytuff,,0
Zubat,,41,?,375,77,15,4,4,51.1,22,22,,,,2020-37-07 10:37,2020-37-07 10:37,5/7/2020,,,0,0,1,0,1.73%,4025,90.82%,45000,65,Golbat,,0,43.47%,2316,94.01%,204000,348,Crobat,,0
Zubat,,41,?,358,79,7,14,10,68.9,21,21,,,,2020-28-03 20:28,2020-28-03 20:28,5/3/2020,10.55kg,0.95m,0,0,1,3000,76.48%,964,95.88%,51000,71,Golbat,,0,95.31%,193,97.78%,210000,354,Crobat,,0
Zubat,,41,?,386,83,9,13,13,77.8,22,22,,,,6/2/2020 23:06,6/2/2020 23:06,5/2/2020,,,0,0,1,0,54.77%,1853,94.70%,40500,61,Golbat,,0,92.75%,298,97.42%,185000,321,Crobat,,0
Zubat,,41,?,297,76,4,4,12,44.4,19,19,,,,2020-24-01 19:24,2020-24-01 19:24,5/1/2020,,,0,0,1,0,78.17%,895,96.24%,13000,136,Crobat,,0,,,,,,,,
Golbat,,42,?,1090,115,1,9,4,31.1,22,22,,,,2020-34-05 13:34,2020-34-05 13:34,5/5/2020,,,0,0,2,0,83.96%,658,96.59%,0,100,Crobat,,0,,,,,,,,
Golbat,,42,?,1078,115,9,13,13,77.8,20,20,Wing Attack,Air Cutter,,2020-27-28 14:27,2020-27-28 14:27,2/4/2020,63.6kg,1.69m,0,0,2,2500,82.08%,735,96.46%,2500,102,Crobat,,0,,,,,,,,
Oddish,,43,?,699,83,12,4,6,48.9,22,22,,,,2020-54-07 16:54,2020-54-07 16:54,5/7/2020,,,0,0,1,0,22.52%,3174,93.79%,16500,140,Bellossom,,0,42.86%,2341,90.53%,214000,363,Vileplume,,0
Oddish,,43,?,1014,101,12,8,9,64.4,32,32,,,,3/6/2020 22:03,3/6/2020 22:03,5/6/2020,,,0,0,1,0,36.04%,2620,93.65%,56000,89,Gloom,,0,78.97%,862,94.54%,128000,287,Vileplume,,0
Oddish,,43,?,603,80,7,0,6,28.9,20,20,,,,2020-51-03 09:51,2020-51-03 09:51,5/3/2020,,,0,0,1,0,50.84%,2014,95.19%,35000,156,Bellossom,,0,10.13%,3681,86.35%,225000,373,Vileplume,,0
Gloom,,44,?,1006,106,4,11,11,57.8,23,23,Acid,Sludge Bomb,,2020-27-28 14:27,2020-27-28 14:27,4/13/2020,9.82kg,0.9m,0,0,1,3500,51.38%,1992,95.21%,10500,109,Bellossom,,0,,,,,,,,
Gloom,,44,?,1199,108,15,12,5,71.1,26,26,Acid,Sludge Bomb,,2020-27-28 14:27,2020-27-28 14:27,3/24/2020,11.66kg,0.89m,0,0,1,4000,31.84%,2792,93.43%,98000,96,Gloom,,0,84.86%,621,95.44%,186000,314,Vileplume,,0
Paras,,46,?,794,92,7,5,14,57.8,31,31,,,,2020-57-07 18:57,2020-57-07 18:57,5/7/2020,,,0,0,2,0,65.42%,1417,95.86%,0,50,Parasect,,0,65.40%,1418,88.95%,140000,224,Parasect,,0
Paras,,46,?,756,86,11,15,13,86.7,27,27,,,,2020-52-05 19:52,2020-52-05 19:52,5/5/2020,,,0,0,1,0,72.53%,1126,96.23%,18000,66,Parasect,,0,98.27%,72,96.32%,178000,256,Parasect,,0
Parasect,,47,?,1341,114,13,11,13,82.2,26,26,Struggle Bug,X-Scissor,,2020-27-28 14:27,2020-27-28 14:27,4/20/2020,28.09kg,0.97m,0,0,1,4000,46.30%,2200,94.90%,26000,24,Parasect,,0,96.14%,159,94.99%,186000,214,Parasect,,0
Venomoth,,49,?,1491,122,9,11,4,53.3,27,27,Infestation,Bug Buzz,,2020-00-17 08:00,2020-00-17 08:00,5/2/2020,,,0,0,0,0,57.17%,1755,94.80%,0,0,Venomoth,,0,62.12%,1552,89.31%,178000,206,Venomoth,,0
Venomoth,,49,?,1693,131,7,6,4,37.8,33,33,,,,3/6/2020 22:03,3/6/2020 22:03,5/6/2020,,,0,0,0,0,,,,,,,,,28.38%,2934,85.49%,116000,150,Venomoth,,0
Diglett,Normal,50,?,366,50,11,3,15,64.4,21,21,,,,8/2/2020 23:08,8/2/2020 23:08,5/2/2020,,,0,0,0,0,80.29%,808,94.17%,220000,294,Dugtrio,Normal,0,80.29%,808,90.03%,220000,294,Dugtrio,Normal,0
Diglett,Alola,50,?,283,40,15,13,12,88.9,15,15,,,,2020-46-01 12:46,2020-46-01 12:46,4/30/2020,,,0,0,1,0,37.97%,2541,94.36%,77400,120,Dugtrio,Alola,0,98.80%,50,96.73%,246400,318,Dugtrio,Alola,0
Diglett,Normal,50,?,332,46,10,7,13,66.7,19,19,Mud-Slap,Rock Tomb,,2020-27-28 14:27,2020-27-28 14:27,2/5/2020,0.35kg,0.14m,0,0,1,2500,81.42%,762,94.39%,230000,302,Dugtrio,Normal,0,,,,,,,,
Diglett,Alola,50,?,398,51,5,5,12,48.9,24,24,Mud-Slap,Dig,,12/28/2020 19:12,12/28/2020 19:12,3/18/2020,0.92kg,0.21m,0,0,0,3500,80.51%,799,96.50%,56000,98,Dugtrio,Alola,0,,,,,,,,
Psyduck,,54,?,574,86,15,1,7,51.1,20,20,,,,7/2/2020 23:07,7/2/2020 23:07,5/2/2020,,,0,0,0,0,2.32%,4001,91.93%,14000,63,Golduck,,0,45.49%,2233,88.11%,225000,298,Golduck,,0
Mankey,,56,?,696,80,14,5,6,55.6,23,23,,,,2020-22-03 20:22,2020-22-03 20:22,5/3/2020,,,0,0,1,0,1.68%,4027,91.46%,7000,56,Primeape,,0,53.53%,1904,88.39%,208000,282,Primeape,,0
Mankey,,56,?,767,88,12,5,13,66.7,25,25,,,,9/2/2020 23:09,9/2/2020 23:09,5/2/2020,,,0,0,1,0,74.53%,1044,87.21%,194000,220,Mankey,,0,78.97%,862,91.54%,194000,270,Primeape,,0
Mankey,,56,?,698,83,15,7,14,80,22,22,,,,5/2/2020 23:05,5/2/2020 23:05,5/2/2020,,,0,0,1,0,41.10%,2413,94.53%,9500,59,Primeape,,0,91.94%,331,94.09%,214000,288,Primeape,,0
Mankey,,56,?,754,82,7,14,4,55.6,25,25,,,,2020-55-02 11:55,2020-55-02 11:55,5/2/2020,,,0,0,1,0,68.77%,1280,86.12%,194000,220,Mankey,,0,64.22%,1466,89.61%,194000,270,Primeape,,0
Mankey,,56,?,789,88,6,12,10,62.2,26,26,,,,2020-24-01 19:24,2020-24-01 19:24,5/1/2020,,,0,0,1,0,78.90%,865,88.10%,186000,214,Mankey,,0,77.88%,907,91.38%,186000,264,Primeape,,0
Primeape,,57,?,1587,112,15,14,6,77.8,25,25,Counter,Close Combat,,2020-52-01 12:52,2020-52-01 12:52,4/27/2020,,,0,0,1,0,,,,,,,,,92.94%,290,94.38%,194000,220,Primeape,,0
Primeape,,57,?,1139,103,2,8,14,53.3,19,19,Low Kick,Low Sweep,,2020-27-28 14:27,2020-27-28 14:27,3/15/2020,25.56kg,0.83m,0,0,4,2500,98.83%,49,98.68%,36000,32,Primeape,,0,60.68%,1611,89.20%,230000,252,Primeape,,0
Primeape,,57,?,1129,103,1,7,14,48.9,19,19,Low Kick,Low Sweep,,2020-57-26 07:57,2020-57-26 07:57,3/13/2020,26.2kg,0.94m,0,0,4,2500,93.70%,259,97.53%,36000,32,Primeape,,0,51.45%,1989,88.16%,230000,252,Primeape,,0
Growlithe,,58,?,530,83,15,14,15,97.8,15,15,,,,8/2/2020 23:08,8/2/2020 23:08,5/2/2020,,,0,0,2,0,30.82%,2834,94.11%,7600,58,Arcanine,,0,17.19%,3392,94.67%,81900,124,Arcanine,,0
Growlithe,,58,?,677,95,0,13,6,42.2,22,22,Ember,Flame Wheel,,7/28/2020 19:07,7/28/2020 19:07,3/23/2020,10.26kg,0.63m,0,0,1,3000,46.86%,2177,83.53%,214000,238,Growlithe,,0,94.07%,244,98.22%,98000,138,Arcanine,,0
Arcanine,,59,?,1494,125,1,14,12,60,18.5,18.5,Thunder Fang,Flamethrower,,2020-14-09 06:14,2020-14-09 06:14,3/20/2020,157.78kg,1.89m,0,0,0,0,99.12%,37,98.86%,0,0,Arcanine,,0,,,,,,,,
Arcanine,,59,?,1282,113,13,15,13,91.1,15,15,Fire Fang,Crunch,,2020-50-05 13:50,2020-50-05 13:50,5/5/2020,,,0,0,0,0,81.90%,742,96.61%,9800,10,Arcanine,,0,50.77%,2017,96.06%,86400,78,Arcanine,,0
Arcanine,,59,?,1256,113,10,13,12,77.8,15,15,Fire Fang,Wild Charge,,2020-28-28 14:28,2020-28-28 14:28,3/1/2020,148.4kg,1.9m,0,0,0,1900,35.43%,2645,94.35%,9800,10,Arcanine,,0,34.60%,2679,95.43%,91400,82,Arcanine,,0
Poliwag,,60,?,355,70,12,10,12,75.6,16,16,Bubble,Mud Bomb,,2020-54-28 19:54,2020-54-28 19:54,1/10/2020,10.38kg,0.54m,0,0,0,1900,78.24%,892,96.11%,22600,145,Poliwrath,,0,,,,,,,,
Abra,,63,?,996,68,15,11,4,66.7,28,28,,,,2020-52-05 19:52,2020-52-05 19:52,5/5/2020,,,0,0,1,0,69.47%,1251,85.72%,169000,198,Abra,,0,0.17%,4089,92.64%,14000,137,Alakazam,,0
Abra,,63,?,972,72,7,13,12,71.1,27,27,,,,2020-34-05 13:34,2020-34-05 13:34,5/5/2020,,,0,0,1,0,90.43%,393,90.88%,178000,206,Abra,,0,56.83%,1769,96.11%,23000,145,Alakazam,,0
Kadabra,,64,?,1493,85,4,12,0,35.6,28.5,28.5,Confusion,Dazzling Gleam,,2020-24-17 12:24,2020-24-17 12:24,5/1/2020,,,0,0,0,0,62.17%,1550,95.09%,0,0,Kadabra,,0,,,,,,,,
Kadabra,,64,?,1479,91,13,2,12,60,27,27,Psycho Cut,Shadow Ball,,2020-28-28 14:28,2020-28-28 14:28,4/25/2020,75.26kg,1.4m,0,0,0,4500,10.65%,3660,92.36%,0,0,Kadabra,,0,17.53%,3378,94.57%,28000,124,Alakazam,,0
Alakazam,,65,?,1279,81,15,11,11,82.2,15,15,Psycho Cut,Futuresight,,2020-20-17 08:20,2020-20-17 08:20,5/5/2020,,,0,0,0,0,65.10%,1430,95.59%,9800,10,Alakazam,,0,14.95%,3484,94.44%,86400,78,Alakazam,,0
Alakazam,,65,?,1442,87,4,5,9,40,18,18,Confusion,Shadow Ball,,2020-20-17 08:20,2020-20-17 08:20,4/25/2020,,,0,0,3,0,74.09%,1062,96.04%,2200,2,Alakazam,,0,62.00%,1557,96.31%,106400,94,Alakazam,,0
Alakazam,,65,,1552,91,13,13,15,91.1,18,18,Confusion,Shadow Ball,,2020-20-17 08:20,2020-20-17 08:20,4/25/2020,,,0,0,0,0,,,,,,,,,23.74%,3124,94.86%,69900,62,Alakazam,,0
Alakazam,,65,?,1556,89,8,10,7,55.6,19,19,Psycho Cut,Shadow Ball,,2020-20-17 08:20,2020-20-17 08:20,4/25/2020,,,0,0,0,0,,,,,,,,,63.30%,1504,96.35%,90000,78,Alakazam,,0
Alakazam,,65,?,1748,96,13,5,11,64.4,21,21,Confusion,Shadow Ball,,2020-20-17 08:20,2020-20-17 08:20,4/25/2020,80.35kg,2.04m,0,0,0,3000,,,,,,,,,37.73%,2551,95.42%,70000,62,Alakazam,,0
Alakazam,,65,?,1749,96,6,14,11,68.9,21,21,Confusion,Shadow Ball,,2020-19-17 08:19,2020-19-17 08:19,4/25/2020,,,0,0,0,0,,,,,,,,,92.60%,304,97.93%,70000,62,Alakazam,,0
Alakazam,,65,?,1860,96,12,4,4,44.4,23,23,Confusion,Shadow Ball,,2020-19-17 08:19,2020-19-17 08:19,4/25/2020,,,0,0,0,0,,,,,,,,,13.21%,3555,94.34%,74000,64,Alakazam,,0
Alakazam,,65,,2229,108,13,13,13,86.7,26,26,Psycho Cut,Futuresight,,2020-19-17 08:19,2020-19-17 08:19,5/3/2020,,,1,0,3,0,,,,,,,,,67.72%,1323,96.52%,13000,24,Alakazam,,0
Machop,,66,?,494,95,12,1,13,57.8,15,15,,,,2020-31-15 13:31,2020-31-15 13:31,5/15/2020,,,0,0,1,0,25.15%,3066,93.84%,12000,137,Machamp,,0,23.30%,3142,94.70%,101400,215,Machamp,,0
Machop,,66,?,906,124,12,7,7,57.8,27,27,,,,2020-39-15 11:39,2020-39-15 11:39,5/15/2020,,,0,0,1,0,45.03%,2252,94.76%,4500,29,Machoke,,0,17.17%,3393,94.41%,28000,149,Machamp,,0
Machop,,66,?,604,104,8,9,13,66.7,18,18,,,,5/14/2020 22:05,5/14/2020 22:05,5/14/2020,,,0,0,5,0,86.40%,558,96.93%,0,125,Machamp,,0,65.30%,1422,96.41%,84400,199,Machamp,,0
Machop,,66,?,632,107,10,5,13,62.2,19,19,,,,4/14/2020 22:04,4/14/2020 22:04,5/14/2020,,,0,0,2,0,50.89%,2012,95.01%,56500,75,Machoke,,0,27.35%,2976,94.89%,80000,195,Machamp,,0
Machop,,66,?,1054,135,8,15,12,77.8,31,31,,,,4/14/2020 22:04,4/14/2020 22:04,5/14/2020,,,0,0,2,0,95.95%,167,94.10%,140000,174,Machop,,0,94.92%,209,94.57%,140000,199,Machoke,,0
Machop,,66,?,1001,131,6,13,8,60,30,30,,,,4/14/2020 22:04,4/14/2020 22:04,5/14/2020,,,0,0,5,0,78.83%,868,89.01%,150000,182,Machop,,0,75.85%,990,96.85%,5000,129,Machamp,,0
Machop,,66,?,547,96,12,10,8,66.7,16,16,,,,1/14/2020 21:01,1/14/2020 21:01,5/8/2020,,,0,0,2,0,39.32%,2486,94.46%,64600,83,Machoke,,0,9.16%,3721,93.91%,87600,203,Machamp,,0
Machop,,66,?,644,104,12,9,7,62.2,19,19,,,,2020-55-13 23:55,2020-55-13 23:55,5/9/2020,,,0,0,2,0,14.58%,3499,93.08%,52000,71,Machoke,,0,43.27%,2324,95.55%,80000,195,Machamp,,0
Machop,,66,?,936,125,12,12,9,73.3,27,27,,,,2020-54-13 23:54,2020-54-13 23:54,5/13/2020,,,0,0,2,0,91.87%,334,92.41%,178000,206,Machop,,0,45.35%,2239,95.64%,23000,145,Machamp,,0
Machop,,66,?,1017,130,15,15,13,95.6,28,28,,,,2020-51-13 23:51,2020-51-13 23:51,5/11/2020,,,0,0,2,0,99.95%,3,99.32%,169000,198,Machop,,0,33.33%,2731,95.16%,4500,129,Machamp,,0
Machop,,66,?,917,129,6,8,11,55.6,28,28,,,,2020-31-09 04:31,2020-31-09 04:31,5/7/2020,,,0,0,2,0,85.15%,609,96.86%,0,25,Machoke,,0,70.60%,1205,96.63%,29000,149,Machamp,,0
Machamp,,68,?,1413,121,10,6,14,66.7,17,17,Counter,Rock Slide,,2020-29-19 09:29,2020-29-19 09:29,5/8/2020,,,0,0,3,0,84.22%,647,96.76%,4400,4,Machamp,,0,,,,,,,,
Bellsprout,,69,?,719,100,12,15,13,88.9,25,25,,,,2020-46-06 17:46,2020-46-06 17:46,5/6/2020,,,0,0,1,0,93.82%,254,96.87%,130000,157,Weepinbell,,0,99.10%,38,97.43%,194000,345,Victreebel,,0
Bellsprout,,69,?,485,85,0,1,3,8.9,21,21,,,,2020-52-05 19:52,2020-52-05 19:52,5/5/2020,,,0,0,1,0,68.50%,1291,95.83%,26000,149,Victreebel,,0,0.68%,4068,79.32%,220000,369,Victreebel,,0
Bellsprout,,69,?,535,87,10,8,10,62.2,20,20,,,,2020-24-03 20:24,2020-24-03 20:24,5/3/2020,,,0,0,1,0,77.58%,919,94.96%,225000,273,Weepinbell,,0,74.14%,1060,90.89%,225000,373,Victreebel,,0
Bellsprout,,69,?,573,91,12,8,12,71.1,21,21,Vine Whip,Power Whip,,11/28/2020 19:11,11/28/2020 19:11,3/19/2020,3.05kg,0.71m,0,0,2,3000,54.68%,1857,95.19%,9000,134,Victreebel,,0,,,,,,,,
Tentacruel,,73,?,1449,122,11,13,6,66.7,22,22,Acid,Blizzard,,2020-28-17 08:28,2020-28-17 08:28,5/5/2020,,,0,0,3,0,38.73%,2510,94.48%,3000,3,Tentacruel,,0,79.19%,853,92.13%,214000,238,Tentacruel,,0
Geodude,Normal,74,?,756,80,12,8,8,62.2,22,22,,,,2020-56-07 20:56,2020-56-07 20:56,5/5/2020,,,0,0,2,0,12.38%,3589,92.67%,54000,73,Graveler,Normal,0,32.19%,2778,95.26%,86000,201,Golem,Normal,0
Geodude,Normal,74,?,968,95,9,8,15,71.1,28,28,,,,2020-52-07 20:52,2020-52-07 20:52,5/7/2020,,,0,0,5,0,56.51%,1782,95.24%,9000,33,Graveler,Normal,0,45.23%,2244,95.76%,35000,155,Golem,Normal,0
Geodude,Normal,74,?,591,72,11,9,12,71.1,17,17,,,,2020-38-07 20:38,2020-38-07 20:38,5/6/2020,,,0,0,1,0,86.30%,562,97.05%,6600,131,Golem,Normal,0,46.59%,2188,95.82%,104800,217,Golem,Normal,0
Geodude,Normal,74,?,853,86,13,3,9,55.6,25,25,,,,2020-36-07 20:36,2020-36-07 20:36,5/6/2020,,,0,0,1,0,27.81%,2957,93.73%,39000,59,Graveler,Normal,0,20.24%,3267,94.76%,72000,189,Golem,Normal,0
Geodude,Normal,74,?,1133,99,15,4,10,64.4,35,35,,,,2020-28-07 20:28,2020-28-07 20:28,5/7/2020,,,0,0,1,0,77.44%,925,89.03%,88000,118,Geodude,Normal,0,79.41%,844,90.90%,88000,143,Graveler,Normal,0
Geodude,Normal,74,?,801,81,7,14,4,55.6,24,24,,,,2020-28-07 20:28,2020-28-07 20:28,5/7/2020,,,0,0,1,0,61.98%,1558,95.52%,51000,69,Graveler,Normal,0,53.21%,1917,96.06%,85000,201,Golem,Normal,0
Geodude,Normal,74,?,765,80,6,14,5,55.6,23,23,,,,2020-00-05 19:00,2020-00-05 19:00,5/5/2020,,,0,0,1,0,67.50%,1332,95.83%,58000,75,Graveler,Normal,0,77.61%,918,97.04%,99000,215,Golem,Normal,0
Geodude,Normal,74,?,878,83,15,3,3,46.7,26,26,,,,2020-54-05 16:54,2020-54-05 16:54,5/5/2020,,,0,0,2,0,2.08%,4011,91.40%,31000,53,Graveler,Normal,0,0.83%,4062,93.02%,64000,183,Golem,Normal,0
