Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
11,Poliwag,,60,♂,53,28,1,13,12,57.8,3.0,3.0,,,,"2021-11-11 17:22","2020-12-28 08:08",12/24/2020,,,0,0,2,400,99.19%,34,98.60%,55200,187,Poliwrath,,0,,,,,,,,,,,,,,,,,G
12,Lotad,,270,♀,47,31,6,13,13,71.1,3.5,3.5,,,,"2021-11-11 17:22","2020-09-07 19:28",9/7/2020,,,0,0,0,400,57.07%,1759,95.29%,64300,195,Ludicolo,,0,86.86%,539,93.05%,268800,424,Ludicolo,,0,95.63%,180,96.33%,204800,211,Lotad,,0,
13,Magikarp,,129,♂,44,36,4,9,12,55.6,8.0,8.0,,,,"2021-11-11 17:22","2020-12-13 21:15",12/13/2020,,,0,0,0,800,95.19%,198,97.56%,22900,428,Gyarados,Normal,0,93.04%,286,97.43%,90100,488,Gyarados,Normal,0,42.37%,2361,67.82%,263600,290,Magikarp,,0,
14,Charmeleon,,5,♂,21,15,10,10,10,66.7,1.0,1.0,,,,"2021-11-11 17:21","2020-04-25 22:54",7/9/2016,,,0,0,0,200,,,,,,,,,82.83%,704,90.81%,270000,304,Charmeleon,,0,,,,,,,,,U
15,Sandslash,Normal,28,♂,795,90,11,14,15,88.9,12.0,12.0,Metal Claw,Rock Tomb,,"2021-11-10 04:05","2021-11-10 04:05",11/10/2021,,,0,0,0,1300,84.10%,652,96.31%,44400,45,Sandslash,Normal,0,98.75%,52,97.45%,255400,280,Sandslash,Normal,0,,,,,,,,,
16,Swirlix,,684,♂,529,94,11,4,14,64.4,17.0,17.0,,,,"2021-10-22 14:26","2021-10-22 14:26",10/10/2021,,,0,0,0,2200,36.70%,2593,94.04%,44800,90,Slurpuff,,0,74.80%,1033,91.21%,238800,310,Slurpuff,,0,,,,,,,,,
17,Gastly,,92,♀,547,60,9,11,8,62.2,17.0,17.0,Astonish,Night Shade,,"2021-10-15 15:53","2020-07-19 18:55",7/19/2020,,,0,0,2,2200,41.37%,2402,94.52%,8800,133,Gengar,Normal,0,,,,,,,,,,,,,,,,,G
18,Froakie,,656,♂,511,80,3,1,7,24.4,22.0,22.0,,,,"2021-07-28 16:01","2021-07-28 16:01",7/28/2021,,,0,0,2,3000,46.91%,2175,95.15%,0,125,Greninja,,0,7.35%,3795,88.74%,214000,363,Greninja,,0,,,,,,,,,
19,Lileep,,345,♂,742,108,8,12,8,62.2,22.0,22.0,,,,"2021-07-28 15:59","2021-07-28 15:59",7/28/2021,,,0,0,0,3000,36.61%,2597,94.29%,20000,68,Cradily,,0,74.04%,1064,91.64%,214000,288,Cradily,,0,,,,,,,,,
20,Kabuto,,140,♂,683,61,4,14,1,42.2,20.0,20.0,,,,"2021-07-28 15:54","2021-07-28 15:54",7/28/2021,,,0,0,0,2500,61.56%,1575,95.77%,5000,54,Kabutops,,0,55.04%,1842,95.53%,225000,298,Kabutops,,0,,,,,,,,,
21,Aron,,304,♀,1036,103,13,7,4,53.3,30.0,30.0,,,,"2021-03-13 07:04","2021-03-13 07:04",3/13/2021,,,0,0,0,5000,,,,,,,,,19.51%,3297,94.45%,16000,139,Aggron,,0,,,,,,,,,U
22,Wurmple,,265,♂,291,76,9,15,0,53.3,20.0,20.0,,,,"2021-03-13 07:01","2021-03-13 07:01",,,,0,0,0,2500,62.59%,1533,95.76%,123000,176,Beautifly,,0,68.64%,1285,88.37%,225000,310,Beautifly,,0,88.08%,489,94.09%,196000,206,Wurmple,,0,
23,Roggenrola,,524,♀,668,99,5,5,13,51.1,22.0,22.0,,,,"2021-03-13 06:58","2021-03-13 06:58",3/13/2021,,,0,0,0,3000,,,,,,,,,82.54%,716,97.11%,54000,298,Gigalith,,0,,,,,,,,,U
24,Magnemite,,81,,984,74,5,7,12,53.3,28.0,28.0,,,,"2021-03-09 02:28","2021-03-09 02:28",3/9/2021,,,0,0,2,4500,,,,,,,,,80.71%,791,96.92%,9000,133,Magnezone,,0,,,,,,,,,U
25,Yamask,Normal,562,♀,393,66,10,11,13,75.6,15.0,15.0,,,,"2021-03-09 02:26","2021-03-09 02:26",3/9/2021,,,0,0,0,1900,77.83%,909,96.29%,45400,92,Cofagrigus,,0,91.72%,340,94.19%,246400,318,Cofagrigus,,0,74.31%,1053,94.37%,16400,16,Yamask,Normal,0,
26,Wurmple,,265,♂,186,65,1,15,3,42.2,14.0,14.0,,,,"2021-03-09 02:20","2021-03-09 02:20",,,,0,0,0,1600,94.75%,216,98.00%,177600,236,Beautifly,,0,53.21%,1917,86.19%,249600,334,Beautifly,,0,68.16%,1305,93.33%,8900,72,Dustox,,0,
27,Magikarp,,129,♀,142,64,5,1,10,35.6,26.0,26.0,,,,"2021-03-09 02:11","2021-03-09 02:11",3/9/2021,,,0,0,0,4000,,,,,,,,,55.85%,1809,95.52%,17000,416,Gyarados,Normal,0,,,,,,,,,U
28,Magikarp,,129,♂,162,59,13,10,8,68.9,23.0,23.0,,,,"2021-03-08 03:02","2021-03-08 03:02",,,,0,0,0,3500,88.79%,460,83.79%,208000,232,Magikarp,,0,36.97%,2582,94.81%,26000,422,Gyarados,Normal,0,88.79%,460,83.79%,208000,232,Magikarp,,0,
29,Aron,,304,♂,1050,107,7,8,6,46.7,33.0,33.0,,,,"2021-03-08 03:01","2021-03-08 03:01",3/8/2021,,,0,0,1,7000,46.28%,2201,84.65%,116000,150,Aron,,0,44.10%,2290,87.42%,116000,175,Lairon,,0,,,,,,,,,
30,Litleo,,667,♀,628,91,3,6,3,26.7,18.0,18.0,,,,"2021-03-07 01:47","2021-03-07 01:47",3/7/2021,,,0,0,0,2200,71.16%,1182,95.81%,14400,62,Pyroar,,0,47.01%,2171,95.62%,234400,306,Pyroar,,0,,,,,,,,,
31,Jynx,,124,♀,1748,112,11,15,6,71.1,25.0,25.0,Frost Breath,Avalanche,,"2021-03-06 03:38","2021-03-06 03:38",3/6/2021,,,0,0,0,4000,,,,,,,,,87.59%,509,95.68%,194000,220,Jynx,,0,,,,,,,,,
32,Chimchar,,390,♂,188,53,4,6,15,55.6,8.0,8.0,,,,"2021-03-04 23:04","2021-03-04 23:04",3/4/2021,,,0,0,0,800,94.33%,233,97.46%,43600,171,Infernape,,0,,,,,,,,,,,,,,,,,G
33,Turtwig,,387,♂,943,109,15,6,3,53.3,30.0,30.0,,,,"2021-03-04 23:02","2021-03-04 23:02",,,,0,0,0,5000,59.02%,1679,85.49%,150000,182,Turtwig,,0,4.93%,3894,93.92%,28000,151,Torterra,,0,,,,,,,,,
34,Frillish,,592,♀,769,99,4,7,3,31.1,25.0,25.0,,,,"2021-03-02 00:47","2021-03-02 00:47",3/2/2021,,,0,0,2,4000,76.26%,973,96.36%,0,50,Jellicent,,0,17.80%,3367,85.52%,194000,270,Jellicent,,0,,,,,,,,,
35,Clefairy,,35,♀,986,134,14,12,9,77.8,32.0,32.0,,,,"2021-03-01 04:53","2021-03-01 04:53",3/1/2021,,,0,0,0,6000,95.87%,170,94.13%,128000,162,Clefairy,,0,93.97%,248,95.11%,128000,212,Clefable,,0,,,,,,,,,
36,Makuhita,,296,♂,625,140,6,6,11,51.1,33.0,33.0,,,,"2021-03-01 04:50","2021-03-01 04:50",3/1/2021,,,0,0,1,7000,42.76%,2345,78.49%,116000,150,Makuhita,,0,63.00%,1516,96.28%,60000,122,Hariyama,,0,,,,,,,,,
37,Throh,,538,♂,2201,206,7,6,11,53.3,35.0,35.0,Zen Headbutt,Low Sweep,,"2021-03-01 04:49","2021-03-01 04:49",3/1/2021,,,0,0,0,8000,,,,,,,,,53.06%,1923,92.00%,88000,118,Throh,,0,,,,,,,,,
38,Aron,,304,♂,1114,110,13,7,11,68.9,33.0,33.0,,,,"2021-02-27 08:12","2021-02-27 08:12",2/27/2021,,,0,0,0,7000,84.42%,639,90.36%,116000,150,Aron,,0,87.96%,494,93.00%,116000,175,Lairon,,0,,,,,,,,,
39,Rhyhorn,,111,♂,679,103,13,10,11,75.6,15.0,15.0,,,,"2021-02-27 08:03","2021-02-27 08:03",2/27/2021,,,0,0,2,1900,77.66%,916,96.30%,7600,33,Rhydon,,0,,,,,,,,,,,,,,,,,G
40,Geodude,Normal,74,♂,533,67,12,14,11,82.2,15.0,15.0,,,,"2021-02-27 07:47","2021-02-27 07:47",2/27/2021,,,0,0,0,1900,53.60%,1901,95.11%,81900,99,Graveler,Normal,0,42.66%,2349,95.67%,101400,215,Golem,Normal,0,,,,,,,,,
41,Misdreavus,,200,♀,1497,118,7,10,8,55.6,29.5,29.5,Astonish,Dark Pulse,,"2021-02-27 07:38","2021-02-27 07:20",2/27/2021,,,0,0,5,5000,76.43%,966,96.42%,0,0,Misdreavus,,0,,,,,,,,,,,,,,,,,G
42,Vaporeon,,134,♀,1492,159,14,13,13,88.9,17.0,17.0,Water Gun,Aqua Tail,,"2021-02-27 07:36","2020-04-29 17:34",4/29/2020,,,0,0,5,2200,67.28%,1341,95.66%,0,0,Vaporeon,,0,,,,,,,,,,,,,,,,,G
43,Aron,,304,♂,892,99,11,13,12,80.0,25.0,25.0,,,,"2021-02-27 07:34","2021-02-27 07:34",2/27/2021,,,0,0,0,4000,73.55%,1084,95.72%,12000,35,Lairon,,0,,,,,,,,,,,,,,,,,G
44,Pikachu,Normal,25,♀,436,69,5,5,9,42.2,19.0,19.0,,,,"2021-02-27 07:06","2021-02-27 07:06",2/27/2021,,,0,0,0,2500,77.00%,943,95.70%,48000,92,Raichu,Normal,0,34.82%,2670,86.12%,230000,302,Raichu,Normal,0,60.07%,1636,92.70%,13000,11,Pikachu,Normal,0,
45,Bulbasaur,,1,♀,510,77,6,9,9,53.3,18.0,18.0,,,,"2021-02-26 01:23","2021-02-26 01:23",2/26/2021,,,0,0,0,2200,64.91%,1438,95.71%,11900,135,Venusaur,Normal,0,,,,,,,,,,,,,,,,,G
46,Slowpoke,Normal,79,♀,673,135,2,12,10,53.3,22.0,22.0,,,,"2021-02-26 01:21","2021-02-26 01:21",2/26/2021,,,0,0,5,3000,99.00%,42,98.54%,3000,53,Slowbro,Normal,0,,,,,,,,,,,,,,,,,G
47,Magikarp,,129,♀,87,47,3,9,1,28.9,17.0,17.0,,,,"2021-02-26 01:15","2021-02-26 01:15",2/26/2021,,,0,0,5,2200,89.04%,450,96.84%,0,400,Gyarados,Normal,0,43.61%,2310,95.06%,69800,462,Gyarados,Normal,0,12.01%,3604,57.98%,238800,260,Magikarp,,0,
48,Squirtle,,7,♂,580,87,14,5,9,62.2,23.0,23.0,,,,"2021-02-25 03:55","2021-02-25 03:55",2/25/2021,,,0,0,1,3500,79.98%,821,90.62%,208000,257,Wartortle,,0,76.65%,957,92.01%,208000,357,Blastoise,Normal,0,,,,,,,,,
49,Gastly,,92,♂,987,81,7,9,7,51.1,33.0,33.0,,,,"2021-02-25 00:21","2021-02-25 00:21",2/25/2021,,,0,0,0,7000,59.00%,1680,83.19%,116000,150,Gastly,,0,53.14%,1920,95.80%,28000,157,Gengar,Normal,0,,,,,,,,,
50,Clefairy,,35,♀,563,104,2,12,3,37.8,20.0,20.0,,,,"2021-02-23 22:40","2021-02-23 22:40",2/23/2021,,,0,0,0,2500,55.51%,1823,95.15%,20500,69,Clefable,,0,32.19%,2778,87.15%,225000,298,Clefable,,0,,,,,,,,,
51,Doduo,,84,♂,818,78,5,8,0,28.9,28.0,28.0,,,,"2021-02-23 22:37","2021-02-23 22:37",2/21/2021,,,0,0,0,4500,15.07%,3479,76.88%,169000,198,Doduo,,0,13.16%,3557,83.20%,169000,248,Dodrio,,0,,,,,,,,,
52,Charmander,,4,♂,533,82,1,10,13,53.3,22.0,22.0,,,,"2021-02-23 21:12","2021-02-23 21:12",2/23/2021,,,0,0,0,3000,92.43%,311,96.96%,214000,263,Charmeleon,,0,99.22%,33,98.94%,134000,255,Charizard,Normal,0,,,,,,,,,
53,Charmander,,4,♂,727,87,7,14,4,55.6,29.0,29.0,,,,"2021-02-22 17:13","2021-02-22 17:13",2/22/2021,,,0,0,0,5000,82.00%,738,95.77%,140000,185,Charmeleon,,0,75.16%,1018,96.84%,65000,189,Charizard,Normal,0,,,,,,,,,
54,Litleo,,667,♂,1127,126,5,9,13,60.0,31.0,31.0,,,,"2021-01-19 11:58","2021-01-19 11:58",1/18/2021,,,0,0,0,6000,70.48%,1210,88.43%,140000,174,Litleo,,0,90.43%,393,97.80%,93000,158,Pyroar,,0,,,,,,,,,
55,Mareep,,179,♂,528,93,8,15,11,75.6,20.0,20.0,,,,"2021-01-19 11:57","2021-01-19 11:57",1/18/2021,,,0,0,1,2500,93.53%,266,95.46%,225000,273,Flaaffy,,0,78.80%,869,97.40%,116000,231,Ampharos,Normal,0,,,,,,,,,
56,Hariyama,,297,♀,2432,241,6,6,15,60.0,35.0,35.0,,,,"2021-01-18 14:05","2021-01-18 14:05",1/17/2021,,,0,0,0,0,,,,,,,,,64.62%,1450,96.35%,24000,30,Hariyama,,0,,,,,,,,,
57,Machop,,66,♂,886,123,14,6,10,66.7,26.0,26.0,,,,"2021-01-18 14:05","2021-01-18 14:05",1/16/2021,,,0,0,0,4000,18.24%,3349,93.31%,8000,33,Machoke,,0,5.62%,3866,93.63%,31000,153,Machamp,,0,,,,,,,,,
58,Machop,,66,♂,441,88,7,13,12,71.1,13.0,13.0,,,,"2021-01-18 14:05","2021-01-18 14:05",1/16/2021,,,0,0,0,1600,72.84%,1113,96.06%,74800,95,Machoke,,0,40.49%,2438,95.45%,97800,215,Machamp,,0,77.88%,907,95.02%,4800,6,Machop,,0,
59,Machop,,66,♀,871,123,9,9,10,62.2,26.0,26.0,,,,"2021-01-18 14:05","2021-01-18 14:05",1/16/2021,,,0,0,0,4000,72.26%,1137,96.04%,12500,37,Machoke,,0,44.25%,2284,95.60%,36000,157,Machamp,,0,,,,,,,,,
60,Machop,,66,♀,224,64,4,10,13,60.0,7.0,7.0,,,,"2021-01-18 14:05","2021-01-18 14:05",1/16/2021,,,0,0,0,800,95.46%,187,97.92%,96200,119,Machoke,,0,95.58%,182,98.18%,125200,243,Machamp,,0,80.10%,816,95.21%,18800,24,Machop,,0,
61,Machop,,66,♂,893,127,9,11,15,77.8,26.0,26.0,,,,"2021-01-18 14:05","2021-01-18 14:05",1/16/2021,,,0,0,0,4000,87.96%,494,97.07%,8000,33,Machoke,,0,77.36%,928,96.93%,31000,153,Machamp,,0,,,,,,,,,
62,Machop,,66,♂,1010,132,14,14,15,95.6,28.0,28.0,,,,"2021-01-18 14:05","2021-01-18 14:04",1/16/2021,,,0,0,0,4500,99.78%,10,98.32%,169000,198,Machop,,0,40.24%,2448,95.44%,4500,129,Machamp,,0,,,,,,,,,
63,Machop,,66,♂,601,99,15,12,9,80.0,17.0,17.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,2200,61.25%,1588,95.52%,2200,127,Machamp,,0,19.83%,3284,94.55%,78800,195,Machamp,,0,,,,,,,,,
64,Machop,,66,♂,731,112,7,11,8,57.8,22.0,22.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,3000,51.92%,1970,95.05%,40500,61,Machoke,,0,58.44%,1703,96.13%,69000,185,Machamp,,0,,,,,,,,,
65,Machop,,66,♀,783,115,13,8,8,64.4,23.0,23.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,3500,22.10%,3191,93.55%,30000,51,Machoke,,0,2.12%,4009,93.18%,53000,171,Machamp,,0,,,,,,,,,
66,Machop,,66,♂,619,102,12,11,8,68.9,18.0,18.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,2200,54.14%,1879,95.16%,56400,75,Machoke,,0,18.32%,3346,94.47%,79400,195,Machamp,,0,,,,,,,,,
67,Machop,,66,♀,813,118,15,10,13,84.4,23.0,23.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,3500,14.68%,3495,93.08%,22000,43,Machoke,,0,35.65%,2636,95.26%,48000,167,Machamp,,0,,,,,,,,,
68,Machop,,66,♀,705,109,13,6,7,57.8,21.0,21.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,3000,40.81%,2425,94.54%,46500,67,Machoke,,0,13.89%,3527,94.23%,70000,187,Machamp,,0,,,,,,,,,
69,Machop,,66,♀,651,105,14,15,14,95.6,18.0,18.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,2200,71.87%,1153,96.03%,48400,67,Machoke,,0,38.83%,2506,95.39%,69900,187,Machamp,,0,,,,,,,,,
70,Machop,,66,♂,569,98,9,11,6,57.8,17.0,17.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,2200,59.22%,1671,95.39%,65300,83,Machoke,,0,62.95%,1518,96.31%,93800,207,Machamp,,0,,,,,,,,,
71,Machop,,66,♂,678,110,6,7,8,46.7,21.0,21.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,3000,31.97%,2787,94.10%,51000,71,Machoke,,0,60.68%,1611,96.23%,86000,201,Machamp,,0,,,,,,,,,
72,Machop,,66,♂,503,91,14,6,4,53.3,15.0,15.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,1900,21.29%,3224,93.63%,12000,137,Machamp,,0,24.79%,3081,94.79%,101400,215,Machamp,,0,,,,,,,,,
73,Machop,,66,♂,405,85,7,12,12,68.9,12.0,12.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,5,1300,97.44%,106,98.26%,21000,149,Machamp,,0,,,,,,,,,,,,,,,,,G
74,Machop,,66,♀,891,125,6,6,5,37.8,28.0,28.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,4500,51.97%,1968,95.05%,4500,29,Machoke,,0,34.55%,2681,95.21%,41000,161,Machamp,,0,,,,,,,,,
75,Machop,,66,♂,774,120,6,5,12,51.1,24.0,24.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,3500,43.59%,2311,94.67%,32000,53,Machoke,,0,76.04%,982,96.86%,67000,183,Machamp,,0,,,,,,,,,
76,Machop,,66,♂,1001,133,7,4,6,37.8,33.0,33.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,7000,23.93%,3116,79.99%,116000,150,Machop,,0,22.66%,3168,83.94%,116000,175,Machoke,,0,,,,,,,,,
77,Machop,,66,♂,823,116,15,8,6,64.4,24.0,24.0,,,,"2021-01-18 14:04","2021-01-18 14:04",1/16/2021,,,0,0,0,3500,27.16%,2984,93.85%,23000,45,Machoke,,0,3.13%,3968,93.33%,46000,165,Machamp,,0,,,,,,,,,
78,Machop,,66,♂,1000,132,4,13,7,53.3,31.0,31.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,6000,68.84%,1277,87.14%,140000,174,Machop,,0,75.53%,1003,96.84%,0,125,Machamp,,0,,,,,,,,,
79,Machop,,66,♂,1094,139,12,8,12,71.1,34.0,34.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,7000,82.03%,737,89.71%,102000,134,Machop,,0,83.81%,664,91.78%,102000,159,Machoke,,0,,,,,,,,,
80,Machop,,66,♀,573,98,11,9,7,60.0,17.0,17.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,2200,66.28%,1382,95.76%,4400,129,Machamp,,0,33.46%,2726,95.16%,88800,203,Machamp,,0,,,,,,,,,
81,Machop,,66,♂,526,91,13,15,5,73.3,15.0,15.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,1900,45.20%,2245,94.81%,9800,135,Machamp,,0,50.23%,2039,95.83%,91400,207,Machamp,,0,,,,,,,,,
82,Machop,,66,♂,1068,131,12,13,5,66.7,32.0,32.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,6000,86.32%,561,90.78%,128000,162,Machop,,0,86.20%,566,92.24%,128000,187,Machoke,,0,,,,,,,,,
83,Machop,,66,♂,960,134,4,6,12,48.9,30.0,30.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,5000,42.22%,2367,83.01%,150000,182,Machop,,0,71.09%,1185,96.64%,16000,139,Machamp,,0,,,,,,,,,
84,Machop,,66,♂,1047,136,10,4,9,51.1,34.0,34.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,7000,44.91%,2257,83.41%,102000,134,Machop,,0,47.33%,2158,86.97%,102000,159,Machoke,,0,,,,,,,,,
85,Machop,,66,♂,647,111,4,7,14,55.6,20.0,20.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,2500,78.83%,868,96.42%,56000,75,Machoke,,0,79.68%,833,97.03%,85000,199,Machamp,,0,,,,,,,,,
86,Machop,,66,♂,600,103,9,8,10,60.0,18.0,18.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,2200,57.56%,1739,95.32%,60900,79,Machoke,,0,65.76%,1403,96.43%,89400,203,Machamp,,0,,,,,,,,,
87,Machop,,66,♀,576,102,10,8,14,71.1,17.0,17.0,,,,"2021-01-18 14:03","2021-01-18 14:03",1/16/2021,,,0,0,0,2200,45.23%,2244,94.77%,60800,79,Machoke,,0,29.74%,2878,95.02%,83800,199,Machamp,,0,,,,,,,,,
88,Machop,,66,♂,780,119,12,5,15,71.1,23.0,23.0,,,,"2021-01-18 14:02","2021-01-18 14:02",1/16/2021,,,0,0,0,3500,35.60%,2638,94.28%,30000,51,Machoke,,0,22.22%,3186,94.66%,53000,171,Machamp,,0,,,,,,,,,
89,Machop,,66,♀,480,91,12,9,11,71.1,14.0,14.0,,,,"2021-01-18 14:02","2021-01-18 14:02",1/16/2021,,,0,0,0,1600,53.43%,1908,95.13%,71600,91,Machoke,,0,33.50%,2724,95.16%,94600,211,Machamp,,0,67.30%,1340,94.18%,1600,2,Machop,,0,
90,Machop,,66,♂,779,113,8,15,5,62.2,23.0,23.0,,,,"2021-01-18 14:02","2021-01-18 14:02",1/16/2021,,,0,0,0,3500,86.62%,549,96.95%,34500,55,Machoke,,0,72.99%,1107,96.73%,58000,175,Machamp,,0,,,,,,,,,
91,Machop,,66,♂,435,89,8,8,14,66.7,13.0,13.0,,,,"2021-01-18 14:02","2021-01-18 14:02",1/16/2021,,,0,0,0,1600,88.86%,457,97.13%,18400,145,Machamp,,0,66.03%,1392,96.43%,102800,219,Machamp,,0,28.84%,2915,91.61%,4800,6,Machop,,0,
92,Machop,,66,♂,520,94,7,9,4,44.4,16.0,16.0,,,,"2021-01-18 14:02","2021-01-18 14:02",1/16/2021,,,0,0,0,1900,84.98%,616,96.81%,10400,135,Machamp,,0,53.48%,1906,95.95%,108600,221,Machamp,,0,,,,,,,,,
93,Machop,,66,♀,807,115,14,6,5,55.6,24.0,24.0,,,,"2021-01-18 14:02","2021-01-18 14:02",1/16/2021,,,0,0,0,3500,23.59%,3130,93.66%,27500,49,Machoke,,0,10.21%,3678,94.00%,51000,169,Machamp,,0,,,,,,,,,
94,Machop,,66,♂,1012,130,10,11,6,60.0,30.0,30.0,,,,"2021-01-18 14:02","2021-01-18 14:02",1/16/2021,,,0,0,0,5000,74.85%,1031,88.31%,150000,182,Machop,,0,36.80%,2589,95.29%,0,125,Machamp,,0,,,,,,,,,
