Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Marked for PvP use
22,Magmar,,126,♂,1242,100,7,4,6,37.8,20.0,20.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,2500,46.20%,2204,94.43%,24000,22,Magmar,,0,41.42%,2400,95.36%,80000,170,Magmortar,,0,
23,Magmar,,126,♂,484,65,4,0,11,33.3,8.0,8.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,800,21.29%,3224,93.22%,62600,64,Magmar,,0,46.69%,2184,95.57%,123600,216,Magmortar,,0,
24,Electabuzz,,125,♂,1316,108,7,7,15,64.4,21.0,21.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,3000,52.26%,1956,95.27%,15500,15,Electabuzz,,0,38.85%,2505,95.49%,65000,158,Electivire,,0,
25,Magikarp,,129,♂,176,64,10,5,6,46.7,28.0,28.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,4500,56.41%,1786,72.18%,419000,198,Magikarp,,0,56.41%,1786,72.18%,419000,198,Magikarp,,0,
26,Magikarp,,129,♂,109,52,11,8,13,71.1,16.0,16.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,1900,78.63%,876,96.07%,0,400,Gyarados,,0,39.41%,2482,94.91%,60600,454,Gyarados,,0,
27,Electabuzz,,125,♂,1403,107,13,9,9,68.9,22.0,22.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,3000,63.79%,1484,95.79%,9500,9,Electabuzz,,0,36.39%,2606,95.40%,59000,152,Electivire,,0,
28,Rhyhorn,,111,♀,197,58,0,12,11,51.1,5.0,5.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,600,95.53%,184,97.57%,21200,153,Rhyperior,,0,92.43%,311,97.81%,112600,135,Rhydon,,0,
29,Rhyhorn,,111,♀,974,124,15,11,14,88.9,21.0,21.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,3000,30.23%,2858,93.82%,125000,118,Rhyhorn,,0,41.05%,2415,95.05%,15500,140,Rhyperior,,0,
30,Magikarp,,129,♂,144,59,13,8,15,80.0,20.0,20.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,2500,95.97%,166,88.77%,475000,248,Magikarp,,0,16.34%,3427,93.87%,39000,434,Gyarados,,0,
31,Magikarp,,129,♂,35,29,7,14,8,64.4,6.0,6.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,600,58.88%,1685,95.04%,23800,430,Gyarados,,0,85.32%,602,96.83%,88400,488,Gyarados,,0,
32,Magikarp,,129,♀,53,38,4,7,5,35.6,10.0,10.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,1000,25.52%,3051,93.42%,19300,424,Gyarados,,0,75.80%,992,96.33%,91000,488,Gyarados,,0,
33,Magikarp,,129,♀,59,35,11,11,5,60.0,9.0,9.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,1000,44.47%,2275,94.35%,19400,424,Gyarados,,0,60.42%,1622,95.69%,84000,482,Gyarados,,0,
34,Magikarp,,129,♀,82,44,11,12,11,75.6,12.0,12.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,1300,13.70%,3535,92.65%,10900,414,Gyarados,,0,73.92%,1069,96.25%,73400,470,Gyarados,,0,
35,Piplup,,393,♂,382,74,4,15,7,57.8,14.0,14.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,1600,91.48%,350,97.45%,202600,231,Prinplup,,0,87.84%,499,97.62%,154600,271,Empoleon,,0,
36,Porygon,,137,,1110,113,13,5,10,62.2,24.0,24.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,3500,16.92%,3403,93.13%,106000,100,Porygon,,0,38.66%,2513,95.43%,32000,153,Porygon-Z,,0,
37,Electabuzz,,125,♂,1536,109,13,14,5,71.1,24.0,24.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,3500,,,,,,,,,5.27%,3880,93.69%,41000,136,Electivire,,0,
38,Rhyhorn,,111,♂,780,109,11,7,3,46.7,18.0,18.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,2200,18.14%,3353,93.09%,214400,226,Rhyhorn,,0,9.43%,3710,93.73%,74400,91,Rhydon,,0,
39,Magikarp,,129,♂,150,59,14,4,13,68.9,21.0,21.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,3000,90.84%,376,84.91%,470000,244,Magikarp,,0,20.27%,3266,94.07%,38000,434,Gyarados,,0,
40,Porygon,,137,,651,84,12,11,7,66.7,14.0,14.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,1600,41.54%,2395,94.39%,8900,135,Porygon-Z,,0,22.93%,3157,94.96%,193600,219,Porygon2,,0,
41,Porygon,,137,,746,93,0,4,2,13.3,18.0,18.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,2200,81.88%,743,96.54%,20400,43,Porygon2,,0,58.49%,1701,96.16%,84400,199,Porygon-Z,,0,
42,Porygon,,137,,881,96,14,11,2,60.0,19.0,19.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,2500,17.92%,3362,93.21%,135000,126,Porygon,,0,38.27%,2529,95.42%,61000,179,Porygon-Z,,0,
43,Magikarp,,129,♂,92,46,11,7,8,57.8,14.0,14.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,1600,22.39%,3179,93.22%,7000,408,Gyarados,,0,41.39%,2401,94.97%,71600,466,Gyarados,,0,
44,Charmander,,4,♂,95,32,11,11,10,71.1,4.0,4.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,400,59.37%,1665,95.51%,212400,245,Charmeleon,,0,53.87%,1890,96.01%,152400,273,Charizard,Normal,0,
45,Charmander,,4,♂,203,45,13,12,2,60.0,8.0,8.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,800,45.64%,2227,94.53%,33600,163,Charizard,Normal,0,21.34%,3222,94.77%,154600,273,Charizard,Normal,0,
46,Electabuzz,,125,♀,1046,90,13,5,1,42.2,17.0,17.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,2200,5.69%,3863,91.78%,4400,104,Electivire,,0,12.31%,3592,94.23%,98800,186,Electivire,,0,
47,Electabuzz,,125,♂,1909,129,7,13,14,75.6,30.0,30.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,5000,,,,,,,,,96.75%,134,97.89%,370000,182,Electabuzz,,0,
48,Porygon,,137,,1158,113,8,8,4,44.4,26.0,26.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,4000,38.80%,2507,94.36%,130000,136,Porygon,,0,40.68%,2430,95.71%,176000,224,Porygon2,,0,
49,Rhyhorn,,111,♀,732,105,15,12,7,75.6,16.0,16.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,1900,23.91%,3117,93.47%,162600,156,Rhyhorn,,0,24.35%,3099,94.63%,73600,91,Rhydon,,0,
50,Electabuzz,,125,♂,1908,127,13,6,11,66.7,30.0,30.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,5000,,,,,,,,,71.31%,1176,95.32%,370000,182,Electabuzz,,0,
51,Magmar,,126,♀,1692,118,0,7,5,26.7,28.0,28.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,4500,,,,,,,,,86.81%,541,97.36%,41000,136,Magmortar,,0,
52,Magmar,,126,♂,375,53,11,14,5,66.7,6.0,6.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,600,76.68%,956,96.31%,29800,136,Magmortar,,0,39.15%,2493,95.27%,106400,204,Magmortar,,0,
53,Rhyhorn,,111,♀,491,90,0,10,6,35.6,12.0,12.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,1300,88.30%,480,97.04%,21000,49,Rhydon,,0,95.16%,199,98.08%,110400,127,Rhydon,,0,
54,Magmar,,126,♂,1758,118,8,7,5,44.4,28.0,28.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,4500,,,,,,,,,54.26%,1874,95.86%,19000,116,Magmortar,,0,
55,Magmar,,126,♂,1087,93,10,8,7,55.6,17.0,17.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,2200,41.59%,2393,94.64%,2200,102,Magmortar,,0,45.76%,2222,95.54%,83800,174,Magmortar,,0,
56,Magikarp,,129,♂,181,69,5,10,7,48.9,34.0,34.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,7000,40.61%,2433,67.29%,352000,134,Magikarp,,0,40.61%,2433,67.29%,352000,134,Magikarp,,0,
57,Porygon,,137,,900,102,2,8,4,31.1,21.0,21.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,3000,92.21%,320,97.37%,3000,28,Porygon2,,0,38.80%,2507,95.43%,60000,179,Porygon-Z,,0,
58,Gastly,,92,♀,725,67,6,13,4,51.1,23.0,23.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,3500,61.88%,1562,95.23%,48000,67,Haunter,,0,66.01%,1393,96.27%,120000,239,Gengar,Normal,0,
59,Electabuzz,,125,♀,1002,94,0,4,9,28.9,17.0,17.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,2200,52.43%,1949,95.27%,44800,40,Electabuzz,,0,85.23%,606,97.43%,122800,210,Electivire,,0,
60,Gastly,,92,♂,1033,84,12,13,13,84.4,31.0,31.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,6000,97.34%,110,94.14%,390000,174,Gastly,,0,64.76%,1444,96.22%,12000,137,Gengar,Normal,0,
61,Magmar,,126,♂,1028,87,13,11,1,55.6,16.0,16.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,1900,21.68%,3208,93.63%,6000,106,Magmortar,,0,41.56%,2394,95.37%,87600,178,Magmortar,,0,
62,Porygon,,137,,1072,110,7,0,3,22.2,25.0,25.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,4000,9.55%,3705,92.58%,184000,205,Porygon,,0,8.84%,3734,93.89%,39000,159,Porygon-Z,,0,
63,Rhyhorn,,111,♂,702,109,10,5,14,64.4,16.0,16.0,,,,"2020-12-13 21:13","2020-12-13 21:13",12/13/2020,,,0,0,0,1900,32.53%,2764,93.93%,204600,210,Rhyhorn,,0,76.34%,970,96.46%,45100,166,Rhyperior,,0,
64,Gastly,,92,♂,725,71,13,4,9,57.8,23.0,23.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,3500,6.40%,3834,92.06%,43500,63,Haunter,,0,27.72%,2961,94.88%,113000,231,Gengar,Normal,0,
65,Gastly,,92,♀,886,77,8,9,8,55.6,28.0,28.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,4500,19.73%,3288,93.20%,4500,29,Haunter,,0,42.12%,2371,95.42%,74000,197,Gengar,Normal,0,
66,Rhyhorn,,111,♂,870,121,9,5,13,60.0,20.0,20.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,2500,33.70%,2716,93.99%,196000,206,Rhyhorn,,0,53.75%,1895,95.53%,27500,150,Rhyperior,,0,
67,Voltorb,,100,,558,80,11,15,15,91.1,20.0,20.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,2500,85.52%,594,96.49%,35000,81,Electrode,,0,99.12%,37,97.87%,475000,298,Electrode,,0,
68,Abra,,63,♂,465,51,5,12,14,68.9,13.0,13.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,1600,98.93%,45,98.70%,18400,145,Alakazam,,0,99.10%,38,99.04%,102800,219,Alakazam,,0,
69,Abra,,63,♂,380,45,2,13,9,53.3,11.0,11.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,1300,92.67%,301,97.07%,84500,107,Kadabra,,0,88.55%,470,97.58%,118000,235,Alakazam,,0,
70,Rhyhorn,,111,♂,950,128,0,9,11,44.4,23.0,23.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,3500,94.26%,236,97.77%,261000,232,Rhyhorn,,0,97.46%,105,98.39%,58000,75,Rhydon,,0,
71,Electabuzz,,125,♂,1290,104,4,13,7,53.3,21.0,21.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,3000,66.06%,1391,95.90%,19000,18,Electabuzz,,0,83.93%,659,97.37%,75000,166,Electivire,,0,
72,Rhyhorn,,111,♂,550,94,6,7,7,44.4,13.0,13.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,1600,79.73%,831,96.08%,6400,133,Rhyperior,,0,70.09%,1226,96.18%,58800,181,Rhyperior,,0,
73,Rhyhorn,,111,♀,721,112,0,3,8,24.4,18.0,18.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,2200,96.36%,150,98.01%,2200,27,Rhydon,,0,95.56%,183,97.84%,48400,167,Rhyperior,,0,
74,Rhyhorn,,111,♂,635,100,15,7,11,73.3,14.0,14.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/13/2020,,,0,0,0,1600,62.83%,1523,95.51%,10800,37,Rhydon,,0,43.47%,2316,95.14%,48600,171,Rhyperior,,0,
75,Rhyhorn,,111,♀,622,97,11,12,6,64.4,14.0,14.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,1600,60.27%,1628,94.98%,1600,127,Rhyperior,,0,37.83%,2547,95.26%,85100,103,Rhydon,,0,
76,Rhyhorn,,111,♀,392,79,6,15,10,68.9,9.0,9.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,1000,79.07%,858,96.49%,224000,234,Rhyhorn,,0,97.17%,117,98.08%,64500,190,Rhyperior,,0,
77,Aggron,,306,♂,2095,124,12,12,14,84.4,25.0,25.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,4000,,,,,,,,,24.93%,3075,94.72%,39000,34,Aggron,,0,
78,Magmar,,126,♂,1709,117,8,0,3,24.4,28.0,28.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,4500,,,,,,,,,19.83%,3284,94.42%,35000,130,Magmortar,,0,
79,Magmar,,126,♀,1458,105,8,13,2,51.1,23.0,23.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,3500,50.62%,2023,94.62%,3500,3,Magmar,,0,22.66%,3168,94.56%,53000,146,Magmortar,,0,
80,Rhyhorn,,111,♂,433,83,11,4,7,48.9,10.0,10.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,1000,52.33%,1953,95.03%,23400,53,Rhydon,,0,10.99%,3646,93.60%,62500,188,Rhyperior,,0,
81,Magmar,,126,♀,1239,100,10,0,5,33.3,20.0,20.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,2500,10.89%,3650,92.49%,24000,22,Magmar,,0,7.94%,3771,93.61%,80000,170,Magmortar,,0,
82,Gastly,,92,♀,563,62,5,3,6,31.1,19.0,19.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,2500,54.73%,1855,95.10%,5000,129,Gengar,Normal,0,32.16%,2779,95.05%,174000,299,Gengar,Normal,0,
83,Rhyhorn,,111,♂,825,117,4,4,7,33.3,20.0,20.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,2500,64.62%,1450,95.65%,289000,248,Rhyhorn,,0,85.20%,607,96.94%,35000,156,Rhyperior,,0,
84,Rhyhorn,,111,♂,641,101,14,10,13,82.2,14.0,14.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,1600,44.44%,2276,94.58%,169600,164,Rhyhorn,,0,41.61%,2392,95.41%,80600,99,Rhydon,,0,
85,Piplup,,393,♂,781,107,5,4,5,31.1,30.0,30.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,5000,41.22%,2408,94.45%,150000,207,Prinplup,,0,55.82%,1810,96.20%,86000,219,Empoleon,,0,
86,Rhyhorn,,111,♂,307,70,9,14,13,80.0,7.0,7.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,800,92.70%,300,97.48%,26400,57,Rhydon,,0,82.34%,724,96.77%,64200,191,Rhyperior,,0,
87,Gastly,,92,♀,247,39,11,9,3,51.1,8.0,8.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,800,62.95%,1518,95.48%,36100,165,Gengar,Normal,0,27.06%,2988,94.86%,175600,297,Gengar,Normal,0,
88,Gastly,,92,♂,294,43,9,3,0,26.7,10.0,10.0,,,,"2020-12-13 21:12","2020-12-13 21:12",12/12/2020,,,0,0,0,1000,16.92%,3403,93.01%,120000,137,Haunter,,0,11.33%,3632,94.07%,213000,345,Gengar,Normal,0,
89,Rhyhorn,,111,♀,1221,136,12,15,6,73.3,27.0,27.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,4500,39.85%,2464,94.35%,106000,108,Rhyhorn,,0,19.98%,3278,94.40%,9000,33,Rhydon,,0,
90,Abra,,63,♀,436,51,6,0,14,44.4,13.0,13.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,1600,73.92%,1069,96.04%,20600,147,Alakazam,,0,50.09%,2045,95.87%,118800,233,Alakazam,,0,
91,Electabuzz,,125,♂,1601,113,4,7,1,26.7,27.0,27.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,4500,,,,,,,,,28.01%,2949,95.04%,56000,150,Electivire,,0,
92,Rhyhorn,,111,♂,1068,136,6,5,14,55.6,25.0,25.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,4000,69.11%,1266,95.90%,194000,220,Rhyhorn,,0,31.53%,2805,94.98%,34000,55,Rhydon,,0,
93,Porygon,,137,,511,78,6,15,15,80.0,11.0,11.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,1300,98.14%,77,98.45%,163000,158,Porygon,,0,97.34%,110,98.57%,84500,207,Porygon-Z,,0,
94,Rhyhorn,,111,♂,1105,133,11,0,6,37.8,26.0,26.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,4000,10.18%,3679,92.46%,196000,214,Rhyhorn,,0,10.11%,3682,93.76%,31000,53,Rhydon,,0,
95,Porygon,,137,,653,88,11,7,15,73.3,14.0,14.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,1600,66.08%,1390,95.65%,24600,49,Porygon2,,0,49.33%,2076,96.04%,193600,219,Porygon2,,0,
96,Gastly,,92,♀,867,74,13,14,7,75.6,26.0,26.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,4000,31.45%,2808,93.84%,12500,37,Haunter,,0,25.64%,3046,94.79%,64000,183,Gengar,Normal,0,
97,Magikarp,,129,♂,158,65,5,9,8,48.9,28.0,28.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,4500,41.03%,2416,67.45%,419000,198,Magikarp,,0,41.03%,2416,67.45%,419000,198,Magikarp,,0,
98,Rhyhorn,,111,♀,1174,139,8,8,11,60.0,27.0,27.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,4500,63.08%,1513,95.57%,158000,176,Rhyhorn,,0,64.08%,1472,96.34%,18000,41,Rhydon,,0,
99,Rhyhorn,,111,♂,444,81,13,10,3,57.8,10.0,10.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,1000,41.98%,2377,94.05%,12000,141,Rhyperior,,0,12.23%,3595,93.91%,95500,117,Rhydon,,0,
100,Magikarp,,129,♂,138,54,12,13,7,71.1,20.0,20.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/12/2020,,,0,0,0,2500,88.60%,468,83.71%,475000,248,Magikarp,,0,48.99%,2090,95.25%,43000,438,Gyarados,,0,
101,Spheal,,363,♀,387,96,6,1,4,24.4,17.0,17.0,,,,"2020-12-13 21:11","2020-12-13 21:11",12/11/2020,,,0,0,0,2200,29.40%,2892,93.82%,238800,285,Sealeo,,0,39.46%,2480,95.33%,269800,385,Walrein,,0,
