r,c href,c src,l,l href,c,c 2,c 3,c 4,c 5,c 6,
013,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/17/GO013.png/48px-GO013.png,Weedle,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon),120,63,50,378000,456,515,
014,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/1b/GO014.png/48px-GO014.png,Kakuna,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon),128,46,75,441600,432,488,
015,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/fb/GO015.png/48px-GO015.png,Beedrill,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),163,169,130,3581110,1846,2087,
015M,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/57/GO015M.png/48px-GO015M.png,Beedrill,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),163,303,148,7309572,3383,3824,
016,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/58/GO016.png/48px-GO016.png,Pidgey,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon),120,85,73,744600,680,769,
017,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/74/GO017.png/48px-GO017.png,Pidgeotto,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon),160,117,105,1965600,1194,1350,
018,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/bc/GO018.png/48px-GO018.png,Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),195,166,154,4984980,2129,2407,
018M,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/05/GO018M.png/48px-GO018M.png,Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),195,280,175,9555000,3680,4160,
019,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/49/GO019.png/48px-GO019.png,Rattata,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),102,103,70,735420,734,830,
019A,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/9b/GO019A.png/48px-GO019A.png,Rattata,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),102,103,70,735420,734,830,
020,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/9b/GO020.png/48px-GO020.png,Raticate,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),146,161,139,3267334,1730,1956,
020A,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/67/GO020A.png/48px-GO020A.png,Raticate,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),181,135,154,3762990,1705,1927,
021,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/fe/GO021.png/48px-GO021.png,Spearow,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon),120,112,60,806400,798,902,
022,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f2/GO022.png/48px-GO022.png,Fearow,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon),163,182,133,3945578,1997,2257,
023,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/50/GO023.png/48px-GO023.png,Ekans,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon),111,110,97,1184370,927,1048,
024,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/27/GO024.png/48px-GO024.png,Arbok,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon),155,167,153,3960405,1921,2171,
025,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/b2/GO025.png/48px-GO025.png,Pikachu,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),111,112,96,1193472,938,1060,
026,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/be/GO026.png/48px-GO026.png,Raichu,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),155,193,151,4517165,2182,2467,
026A,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0a/GO026A.png/48px-GO026A.png,Raichu,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),155,201,154,4797870,2286,2585,
027,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/2f/GO027.png/48px-GO027.png,Sandshrew,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),137,126,120,2071440,1261,1426,
027A,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/61/GO027A.png/48px-GO027A.png,Sandshrew,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),137,125,129,2209125,1293,1462,
028,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0e/GO028.png/48px-GO028.png,Sandslash,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),181,182,175,5764850,2374,2684,
028A,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/70/GO028A.png/48px-GO028A.png,Sandslash,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),181,177,195,6247215,2432,2750,
029,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/43/GO029.png/48px-GO029.png,Nidoran♀,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),146,86,89,1117484,816,922,
030,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/59/GO030.png/48px-GO030.png,Nidorina,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon),172,117,120,2414880,1309,1480,
031,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/78/GO031.png/48px-GO031.png,Nidoqueen,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon),207,180,173,6445980,2488,2812,
032,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/14/GO032.png/48px-GO032.png,Nidoran♂,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),130,105,76,1037400,860,973,
033,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/9d/GO033.png/48px-GO033.png,Nidorino,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon),156,137,111,2372292,1393,1575,
034,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/d2/GO034.png/48px-GO034.png,Nidoking,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon),191,204,156,6078384,2567,2902,
035,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4a/GO035.png/48px-GO035.png,Clefairy,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon),172,107,108,1987632,1155,1306,
036,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/8f/GO036.png/48px-GO036.png,Clefable,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),216,178,162,6228576,2437,2755,
037,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/d5/GO037.png/48px-GO037.png,Vulpix,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),116,96,109,1213824,883,998,
037A,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/08/GO037A.png/48px-GO037A.png,Vulpix,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),116,96,109,1213824,883,998,
038,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/b7/GO038.png/48px-GO038.png,Ninetales,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),177,169,190,5683470,2279,2577,
038A,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e5/GO038A.png/48px-GO038A.png,Ninetales,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),177,170,193,5807370,2309,2610,
039,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/62/GO039.png/48px-GO039.png,Jigglypuff,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon),251,80,41,823280,724,818,
040,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/00/GO040.png/48px-GO040.png,Wigglytuff,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon),295,156,90,4141800,1926,2178,
041,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f0/GO041.png/48px-GO041.png,Zubat,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon),120,83,73,727080,667,754,
042,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/cb/GO042.png/48px-GO042.png,Golbat,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon),181,161,150,4371150,1976,2234,
043,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/7f/GO043.png/48px-GO043.png,Oddish,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon),128,131,112,1878016,1228,1389,
044,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/13/GO044.png/48px-GO044.png,Gloom,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon),155,153,136,3225240,1681,1900,
045,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/20/GO045.png/48px-GO045.png,Vileplume,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon),181,202,167,6105854,2559,2893,
046,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/b8/GO046.png/48px-GO046.png,Paras,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon),111,121,99,1329669,1018,1150,
047,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e2/GO047.png/48px-GO047.png,Parasect,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon),155,165,146,3733950,1859,2102,
048,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/93/GO048.png/48px-GO048.png,Venonat,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon),155,100,100,1550000,1004,1135,
049,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/1b/GO049.png/48px-GO049.png,Venomoth,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon),172,179,143,4402684,2082,2354,
050,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5d/GO050.png/48px-GO050.png,Diglett,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),67,109,78,569634,676,764,
050A,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/41/GO050A.png/48px-GO050A.png,Diglett,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),67,108,81,586116,681,770,
051,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f0/GO051.png/48px-GO051.png,Dugtrio,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),111,167,136,2521032,1567,1772,
051A,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/55/GO051A.png/48px-GO051A.png,Dugtrio,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),111,201,142,3168162,1897,2145,
052,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/03/GO052.png/48px-GO052.png,Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),120,92,78,861120,748,846,
052A,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/80/GO052A.png/48px-GO052A.png,Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),120,99,78,926640,797,901,
052G,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/46/GO052G.png/48px-GO052G.png,Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),137,115,92,1449460,1035,1170,
053,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/9b/GO053.png/48px-GO053.png,Persian,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),163,150,136,3325200,1689,1910,
053A,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/2f/GO053A.png/48px-GO053A.png,Persian,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),163,158,136,3502544,1771,2002,
054,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0f/GO054.png/48px-GO054.png,Psyduck,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon),137,122,95,1587830,1106,1250,
055,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/dc/GO055.png/48px-GO055.png,Golduck,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon),190,191,162,5878980,2450,2770,
056,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/82/GO056.png/48px-GO056.png,Mankey,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon),120,148,82,1456320,1164,1317,
057,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/67/GO057.png/48px-GO057.png,Primeape,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon),163,207,138,4656258,2288,2586,
058,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/ba/GO058.png/48px-GO058.png,Growlithe,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),146,136,93,1846608,1243,1405,
059,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/ad/GO059.png/48px-GO059.png,Arcanine,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),207,227,166,7800174,3029,3425,
060,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/95/GO060.png/48px-GO060.png,Poliwag,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon),120,101,82,993840,829,937,
061,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e9/GO061.png/48px-GO061.png,Poliwhirl,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon),163,130,123,2606370,1419,1604,
062,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5e/GO062.png/48px-GO062.png,Poliwrath,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon),207,182,184,6932016,2586,2923,
063,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a2/GO063.png/48px-GO063.png,Abra,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon),93,195,82,1487070,1342,1517,
064,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a1/GO064.png/48px-GO064.png,Kadabra,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon),120,232,117,3257280,2059,2328,
065,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/43/GO065.png/48px-GO065.png,Alakazam,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),146,271,167,6607522,3057,3456,
066,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/3a/GO066.png/48px-GO066.png,Machop,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon),172,137,82,1932248,1278,1445,
